Analista,,,,,,,,,,
Fecha de inicio,22/01/2023 09:48 a. m.  GMT: 22/01/2023 03:48 p. m.,,,,,,,,,
Hoja de trabajo,SA000112_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5043,,mg/L,1.2,0.0171,-0.0008,0.0173,0.0172,0.0169
,BLANCO,0.0014,,mg/L,>100,0,0.0003,0,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,72.2,-0.0002,0.0004,-0.0001,-0.0002,-0.0005
,SA000112-001,0.1415,,mg/L,1.1,0.0205,-0.0003,0.0208,0.0205,0.0204
,SA000112-002,0.1214,,mg/L,0.6,0.0177,-0.0002,0.0176,0.0176,0.0178
,SA000112-003,0.0904,,mg/L,0.5,0.0132,0,0.0131,0.0133,0.0132
,SA000112-004,0.2373,,mg/L,1.2,0.034,-0.0001,0.0335,0.0343,0.0341
,SA000112-005,0.1384,,mg/L,2.1,0.0201,-0.0001,0.02,0.0206,0.0197
,PATRON,0.5014,,mg/L,2.3,0.017,-0.0007,0.0173,0.0166,0.0172
,SA000112-006,0.0316,,mg/L,4,0.0047,-0.0001,0.0045,0.0049,0.0046
,SA000112-007,0.0304,,mg/L,3.6,0.0045,-0.0003,0.0046,0.0043,0.0045
,SA000112-008,0.0416,,mg/L,3.2,0.0061,-0.0002,0.0063,0.0062,0.0059
,SA000112-009,0.1476,,mg/L,0.4,0.0214,-0.0001,0.0213,0.0214,0.0215
,SA000112-010,0.3585,,mg/L,0.2,0.0506,-0.0002,0.0508,0.0506,0.0505
,PATRON,0.4987,,mg/L,1.9,0.0169,-0.0009,0.0173,0.0167,0.0168
,BLANCO,0.0046,,mg/L,>100,0.0002,0.0001,0.0004,0,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0003,-0.0003,-0.0001,0.0001
,SA000112-011,0.067,,mg/L,2.4,0.0098,-0.0005,0.0101,0.0096,0.0098
,SA000112-012,0.4217,,mg/L,0.4,0.0591,-0.0005,0.0594,0.059,0.0589
,SA000112-013,0.1491,,mg/L,1.2,0.0216,-0.0003,0.0214,0.0219,0.0215
,SA000112-014,0.189,,mg/L,1.2,0.0273,0,0.0276,0.0271,0.0271
,SA000112-015,0.1001,,mg/L,1.2,0.0146,-0.0003,0.0148,0.0145,0.0145
,PATRON,0.5087,,mg/L,0.7,0.0173,-0.0009,0.0171,0.0174,0.0173
,SA000112-016,0.2615,,mg/L,0.8,0.0373,-0.0005,0.0372,0.0372,0.0377
,SA000112-017,0.13,,mg/L,0.5,0.0189,-0.0003,0.0189,0.0188,0.019
,SA000112-018,0.0027,,mg/L,45.7,0.0004,-0.0006,0.0004,0.0006,0.0002
,SA000112-019,0.0282,,mg/L,1.2,0.0042,-0.0005,0.0041,0.0042,0.0042
,SA000112-020,0.0257,,mg/L,2.8,0.0038,-0.0004,0.0037,0.0039,0.0037
,PATRON,0.5083,,mg/L,0.7,0.0173,-0.0009,0.0174,0.0172,0.0171
,BLANCO,0.0045,,mg/L,>100,0.0002,-0.0001,0.0004,0,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0002,0.0002,-0.0002,-0.0001
,SA000112-021,0.1457,,mg/L,0.8,0.0211,-0.0006,0.0209,0.0213,0.0212
,SA000112-022,0.189,,mg/L,0.1,0.0273,-0.0004,0.0273,0.0272,0.0272
,SA000112-023,0.1213,,mg/L,1.9,0.0177,-0.0004,0.018,0.0175,0.0174
,SA000112-024,0.0998,,mg/L,1.3,0.0146,-0.0005,0.0145,0.0148,0.0144
,SA000112-025,0.7116,,mg/L,0.7,0.097,-0.0001,0.0963,0.0973,0.0975
,PATRON,0.4994,,mg/L,1,0.017,-0.001,0.0168,0.0172,0.0169
,SA000112-026,0.3771,,mg/L,0.9,0.0531,-0.0006,0.0532,0.0526,0.0536
,SA000112-027,0.0007,,mg/L,>100,0.0001,-0.0005,0.0001,0.0002,0
,SA000112-028,0.1704,,mg/L,1.1,0.0246,-0.0005,0.0249,0.0246,0.0244
,SA000112-029,0.0913,,mg/L,0.9,0.0133,-0.0004,0.0134,0.0134,0.0132
,SA000112-030,0.4499,,mg/L,0.5,0.0629,-0.0005,0.0632,0.063,0.0625
,PATRON,0.503,,mg/L,1,0.0171,-0.0008,0.0172,0.0172,0.0169
,BLANCO,-0.001,,mg/L,>100,0,-0.0002,0.0002,-0.0002,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0002,0,-0.0002,0
,SA000112-031,0.2319,,mg/L,0.9,0.0333,-0.0004,0.0332,0.0336,0.033
,SA000112-032,0.1635,,mg/L,0.6,0.0237,-0.0007,0.0237,0.0238,0.0235
,PATRON,0.5033,,mg/L,0.7,0.0171,-0.001,0.017,0.0172,0.0171
,BLANCO,0.0026,,mg/L,>100,0.0001,-0.0003,-0.0001,0.0006,-0.0002
,BLANCO REACTIVO,0,,mg/L,80.2,-0.0003,0.0001,-0.0001,-0.0005,-0.0003
