Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.151
Cabeza puntual retorno,Au 242.80,0.151
Celda #(F1+F2),Au 242.80,0.151
Puntual Noroeste,Au 242.80,0.162
Barren Patios,Au 242.80,0.016
Tubo 3,Au 242.80,0.201
Comp. Cola Columna,Au 242.80,0.022
Barren,Au 242.80,0.023
Celda # 11-A,Au 242.80,0.105
Celda # 11-B,Au 242.80,0.016
Celda # 11-C,Au 242.80,0.006
Celda #5-9,Au 242.80,0.017
NE Tubo 1,Au 242.80,0.003
NE Tubo 2,Au 242.80,0.174
NE Tubo 4,Au 242.80,0.131
NE Tubo 5,Au 242.80,0.126
NE Tubo 6,Au 242.80,0.194
NE Tubo 7,Au 242.80,0.049
Especial 1,Au 242.80,0.029
Especial 2,Au 242.80,0.064
Especial 3,Au 242.80,0.208
Especial 4,Au 242.80,0.184
Especial 5,Au 242.80,0.049
Columna #1,Au 242.80,0.106
Columna #2,Au 242.80,0.06
Columna #3,Au 242.80,0.037
Columna #4,Au 242.80,0.023
Columna #5,Au 242.80,0.009
