Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.313
Comp. Cola Columna,Untitled 000,0.216
Barren,Untitled 000,0.260
Cabeza puntual retorno,Untitled 000,0.301
Celda # 11-A,Untitled 000,0.156
Celda # 11-B,Untitled 000,0.043
Celda # 11-C,Untitled 000,0.028
Celda # 6-F2,Untitled 000,0.166
Celda #5-9,Untitled 000,0.193
Celda #(F1+F2),Untitled 000,0.262
NE Tubo 1,Untitled 000,0.028
NE Tubo 2,Untitled 000,0.360
NE Tubo 4,Untitled 000,0.063
NE Tubo 5,Untitled 000,0.028
NE Tubo 6,Untitled 000,0.062
NE Tubo 7,Untitled 000,0.682
Puntual Noroeste,Untitled 000,0.260
BARREN PATIOS,Untitled 000,0.220
Tubo 3,Untitled 000,0.312
Especial 1,Untitled 000,0.767
Especial 2,Untitled 000,0.076
Especial 3,Untitled 000,0.211
Especial 4,Untitled 000,0.249
Especial 5,Untitled 000,0.099
Especial 6,Untitled 000,0.015
