Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.361
Comp. Cola Columna,Untitled 000,0.227
Barren,Untitled 000,0.247
Cabeza puntual retorno,Untitled 000,0.353
Celda # 11-A,Untitled 000,0.035
Celda # 11-B,Untitled 000,0.048
Celda # 11-C,Untitled 000,0.023
Celda # 6-F2,Untitled 000,0.54
Celda #5-9,Untitled 000,0.147
Celda #(F1+F2),Untitled 000,0.432
NE Tubo 1,Untitled 000,0.021
NE Tubo 2,Untitled 000,0.844
NE Tubo 4,Untitled 000,0.032
NE Tubo 5,Untitled 000,0.022
NE Tubo 6,Untitled 000,0.022
NE Tubo 7,Untitled 000,0.111
Puntual Noroeste,Untitled 000,0.304
Barren Patios,Untitled 000,0.279
Tubo 3,Untitled 000,0.553
Especial 1,Untitled 000,0.785
Especial 2,Untitled 000,0.064
Especial 3,Untitled 000,0.026
Especial 4,Untitled 000,0.027
Especial 5,Untitled 000,0.061
