"Analyst",""
"Date Started","5/31/2025 5:03 AM  GMT: 5/31/2025 12:03 PM"
"Worksheet","LC004595-RE_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"5/31/2025","5:29:58 AM","PATRON",0.8849,"","mg/L",0.4
"5/31/2025","5:30:14 AM","BLANCO",0.0072,"","mg/L",32.5
"5/31/2025","5:30:26 AM","REAGENT BLANK",0.0000,"","mg/L",20.5
"5/31/2025","5:31:02 AM","LC004591-004",0.0418,"","mg/L",4.0
"5/31/2025","5:31:18 AM","LC004591-005",0.0598,"","mg/L",0.2
"5/31/2025","5:31:34 AM","LC004591-008",0.1126,"","mg/L",2.1
"5/31/2025","5:31:50 AM","LC004591-009",0.0017,"","mg/L",30.1
"5/31/2025","5:32:04 AM","	LC004591-012",0.4518,"","mg/L",0.5
"5/31/2025","5:32:24 AM","	LC004593-001",0.0933,"","mg/L",1.1
"5/31/2025","5:33:04 AM","LC004593-002",0.1847,"","mg/L",0.8
"5/31/2025","5:33:20 AM","LC004593-003",0.1526,"","mg/L",0.4
"5/31/2025","5:33:36 AM","LC004593-007",0.4144,"","mg/L",0.8
"5/31/2025","5:33:52 AM","	LC004593-009",0.2400,"","mg/L",1.0
"5/31/2025","5:34:08 AM","LC004593-011",0.1036,"","mg/L",0.7
"5/31/2025","5:40:40 AM","PATRON",0.8894,"","mg/L",0.3
"5/31/2025","5:40:50 AM","PATRON",0.8981,"","mg/L",0.8
"5/31/2025","5:41:12 AM","	LC004593-013",0.0058,"","mg/L",17.6
"5/31/2025","5:41:24 AM","	LC004593-015",0.0383,"","mg/L",2.1
"5/31/2025","5:41:40 AM","	LC004593-016",0.0695,"","mg/L",2.6
"5/31/2025","5:41:50 AM","LC004593-017","OVER","R","mg/L",0.0
"5/31/2025","5:42:04 AM","	LC004593-018",0.0824,"","mg/L",1.4
"5/31/2025","5:42:20 AM","	LC004593-019",0.2240,"","mg/L",0.6
"5/31/2025","5:42:36 AM","PATRON",0.8991,"","mg/L",0.3
"5/31/2025","5:42:56 AM","LC004593-021",0.0268,"","mg/L",4.5
"5/31/2025","5:45:02 AM","	LC004593-012",0.1225,"","mg/L",2.1
"5/31/2025","5:45:02 AM","LC004283-020","","","mg/L",""

"Method: Au AU ALTO (Flame)"


"5/31/2025","5:52:06 AM","LC004593-017",2.4998,"","mg/L",0.4
"5/31/2025","5:52:06 AM","LC004283-020","","","mg/L",""
