Analyst,,,,,,
Date Started,4/28/2025 11:16 PM  GMT: 4/29/2025 6:16 AM,,,,,
Worksheet,LC004329_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
4/28/2025,11:21:00 PM,PATRON,0.8931,,mg/L,0.3
4/28/2025,11:21:14 PM,BLANCO,-0.0063,,mg/L,50.2
4/28/2025,11:21:24 PM,REAGENT BLANK,0,,mg/L,>100
4/28/2025,11:21:36 PM,LC004329-001,0.1746,,mg/L,1
4/28/2025,11:21:52 PM,LC004329-002,0.1053,,mg/L,1.7
4/28/2025,11:22:06 PM,LC004329-003,0.1949,,mg/L,0.4
4/28/2025,11:22:20 PM,LC004329-004,0.1065,,mg/L,0.2
4/28/2025,11:22:34 PM,LC004329-005,0.3035,,mg/L,1.1
4/28/2025,11:22:48 PM,LC004329-006,0.3627,,mg/L,1.1
4/28/2025,11:23:02 PM,PATRON,0.8939,,mg/L,1.3
4/28/2025,11:23:18 PM,LC004329-007,0.9682,,mg/L,0.6
4/28/2025,11:23:34 PM,LC004329-008,0.0796,,mg/L,1.5
4/28/2025,11:23:48 PM,LC004329-009,0.0699,,mg/L,2.3
4/28/2025,11:24:02 PM,LC004329-010,0.1771,,mg/L,2.6
4/28/2025,11:24:18 PM,LC004329-011,0.0255,,mg/L,4.5
4/28/2025,11:24:30 PM,LC004329-012,0.0278,,mg/L,9.7
4/28/2025,11:24:46 PM,PATRON,0.9006,,mg/L,0.7
4/28/2025,11:25:00 PM,LC004329-013,0.0555,,mg/L,1
4/28/2025,11:25:14 PM,LC004329-014,0.2097,,mg/L,0.4
4/28/2025,11:25:28 PM,LC004329-015,0.1332,,mg/L,1
4/28/2025,11:25:42 PM,LC004329-016,0.0917,,mg/L,1.7
4/28/2025,11:25:56 PM,LC004329-017,0.0544,,mg/L,0.5
4/28/2025,11:26:10 PM,LC004329-018,0.0533,,mg/L,2.4
4/28/2025,11:26:26 PM,PATRON,0.9105,,mg/L,0.3
4/28/2025,11:26:38 PM,LC004329-019,0.143,,mg/L,1.4
4/28/2025,11:26:54 PM,LC004329-020,0.0159,,mg/L,2.8
4/28/2025,11:27:08 PM,LC004329-021,0.1811,,mg/L,0.6
4/28/2025,11:27:22 PM,LC004329-022,0.0155,,mg/L,2.6
4/28/2025,11:27:36 PM,LC004329-023,0.0143,,mg/L,18.3
4/28/2025,11:31:12 PM,PATRON,0.8949,,mg/L,1.6
4/28/2025,11:31:20 PM,PATRON,0.89,,mg/L,0.6
4/28/2025,11:31:34 PM,BLANCO,0.001,,mg/L,>100
4/28/2025,11:31:44 PM,REAGENT BLANK,0,,mg/L,>100
4/28/2025,11:33:42 PM,LC004329-024,0.898,,mg/L,0.8
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
