Analyst,,,,,,
Date Started,10/15/2025 1:25 AM  GMT: 10/15/2025 8:25 AM,,,,,
Worksheet,LC005563_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/15/2025,1:32:26 AM,PATRON,0.8981,,mg/L,0.7
10/15/2025,1:32:38 AM,BLANCO,-0.0032,,mg/L,>100
10/15/2025,1:32:48 AM,REAGENT BLANK,0,,mg/L,39
10/15/2025,1:33:00 AM,LC005563-001,0.3128,,mg/L,0.9
10/15/2025,1:33:24 AM,LC005563-002,-0.0046,,mg/L,16
10/15/2025,1:33:38 AM,LC005563-003,0.4113,,mg/L,1.4
10/15/2025,1:33:52 AM,LC005563-004,0.2337,,mg/L,0.4
10/15/2025,1:34:06 AM,LC005563-005,0.309,,mg/L,0.6
10/15/2025,1:34:20 AM,LC005563-006,0.1202,,mg/L,2.2
10/15/2025,1:37:30 AM,PATRON,0.9055,,mg/L,0.6
10/15/2025,1:37:52 AM,LC005563-007,-0.0013,,mg/L,97.4
10/15/2025,1:38:06 AM,LC005563-008,0.3647,,mg/L,1.1
10/15/2025,1:40:14 AM,LC005563-009,0.1288,,mg/L,1.1
10/15/2025,1:40:28 AM,LC005563-010,0.0707,,mg/L,0.2
10/15/2025,1:40:42 AM,LC005563-011,0.0966,,mg/L,1.2
10/15/2025,1:40:54 AM,LC005563-012,0.166,,mg/L,0.1
10/15/2025,1:43:12 AM,PATRON,0.9011,,mg/L,0.9
10/15/2025,1:43:32 AM,LC005563-013,0.0059,,mg/L,21.4
10/15/2025,1:43:48 AM,LC005563-014,0.0543,,mg/L,3.4
10/15/2025,1:44:02 AM,LC005563-015,0.1065,,mg/L,0.7
10/15/2025,1:44:16 AM,LC005563-016,0.0175,,mg/L,6
10/15/2025,1:44:28 AM,LC005563-017,0.0949,,mg/L,1.1
10/15/2025,1:44:42 AM,LC005563-018,0.0445,,mg/L,2.6
10/15/2025,1:44:58 AM,PATRON,0.9055,,mg/L,0.8
10/15/2025,1:45:10 AM,LC005563-019,0.0445,,mg/L,2.3
10/15/2025,1:45:26 AM,LC005563-020,0.1209,,mg/L,0.3
10/15/2025,1:45:40 AM,LC005563-021,0.1436,,mg/L,0.3
10/15/2025,1:45:52 AM,LC005563-022,0.0403,,mg/L,3.2
10/15/2025,1:46:08 AM,LC005563-023,0.0564,,mg/L,4.4
10/15/2025,1:46:24 AM,LC005563-024,0.0628,,mg/L,1.4
10/15/2025,1:46:40 AM,PATRON,0.9032,,mg/L,0.9
10/15/2025,1:46:50 AM,PATRON,0.9103,,mg/L,1.1
10/15/2025,1:47:02 AM,BLANCO,0.0097,,mg/L,24.9
10/15/2025,1:47:12 AM,REAGENT BLANK,0,,mg/L,48
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
