Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.068
Cabeza puntual retorno,Au 242.80,0.067
Celda #(F1+F2),Au 242.80,0.071
Puntual Noroeste,Au 242.80,0.061
Tubo 3,Au 242.80,0.059
NE Tubo 2,Au 242.80,0.014
NE Tubo 4,Au 242.80,0.034
Especial 1,Au 242.80,0.017
Especial 2,Au 242.80,0.028
Especial 3,Au 242.80,0.001
Especial 4,Au 242.80,0.001
Especial 5,Au 242.80,0.001
Columna #1,Au 242.80,0.035
Columna #2,Au 242.80,0.018
Columna #3,Au 242.80,0.011
Columna #4,Au 242.80,0.004
Comp. Cola Columna,Au 242.80,0.004
Barren,Au 242.80,0.006
Barren Patios,Au 242.80,0.004
NE Tubo 1,Au 242.80,0.014
NE Tubo 5,Au 242.80,0.099
NE Tubo 6,Au 242.80,0.096
NE Tubo 7,Au 242.80,0.07
Celda # 11-A,Au 242.80,0.004
Celda # 11-B,Au 242.80,0.044
Celda # 11-C,Au 242.80,0.002
Celda #5-9,Au 242.80,0.022
