Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,1.380
Cabeza puntual retorno,Untitled 000,1.371
Celda #(F1+F2),Untitled 000,1.119
Puntual Noroeste,Untitled 000,1.089
Tubo 3,Untitled 000,1.586
Comp. Cola Columna,Untitled 000,1.205
Barren,Untitled 000,1.138
Celda # 11-A,Untitled 000,0.028
Celda # 11-B,Untitled 000,0.022
Celda # 11-C,Untitled 000,0.016
Celda #5-9,Untitled 000,3.378
NE Tubo 1,Untitled 000,0.127
NE Tubo 2,Untitled 000,0.026
NE Tubo 4,Untitled 000,0.078
NE Tubo 5,Untitled 000,0.073
NE Tubo 6,Untitled 000,0.018
NE Tubo 7,Untitled 000,0.380
Barren Patios,Untitled 000,1.074
Especial 1,Untitled 000,2.513
Especial 2,Untitled 000,2.700
Especial 3,Untitled 000,0.110
Especial 4,Untitled 000,0.022
Especial 5,Untitled 000,3.066
Columna #1,Untitled 000,1.353
Columna #2,Untitled 000,1.354
Columna #3,Untitled 000,1.272
Columna #4,Untitled 000,1.229
Columna #5,Untitled 000,1.231
