Analyst,CD,,,,,
Date Started,3/25/2025 11:58 PM  GMT: 3/26/2025 6:58 AM,,,,,
Worksheet,LC004078_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/26/2025,12:14:32 AM,PATRON,0.8978,,mg/L,0.8
3/26/2025,12:14:44 AM,BLANCO,0.0054,,mg/L,35.9
3/26/2025,12:14:56 AM,REAGENT BLANK,0,,mg/L,77.6
3/26/2025,12:14:56 AM,LC004078-001,,,mg/L,
3/26/2025,12:15:36 AM,LC004078-002,0.0325,,mg/L,3.7
3/26/2025,12:15:46 AM,LC004078-003,0.0394,,mg/L,1.8
3/26/2025,12:15:58 AM,LC004078-004,0.2,,mg/L,0.4
3/26/2025,12:16:10 AM,LC004078-005,-0.0016,,mg/L,7.7
3/26/2025,12:16:24 AM,LC004078-006,0.1145,,mg/L,0.9
3/26/2025,12:16:44 AM,PATRON,0.8712,,mg/L,0.7
3/26/2025,12:16:58 AM,LC004078-007,0.1318,,mg/L,1.1
3/26/2025,12:17:18 AM,LC004078-008,0.0402,,mg/L,1.6
3/26/2025,12:17:30 AM,LC004078-009,0.2151,,mg/L,1.3
3/26/2025,12:17:56 AM,LC004078-011,0.2169,,mg/L,0.4
3/26/2025,12:18:08 AM,LC004078-012,0.591,,mg/L,0.6
3/26/2025,12:18:22 AM,PATRON,0.8936,,mg/L,0.3
3/26/2025,12:18:34 AM,LC004078-014,-0.0018,,mg/L,41.5
3/26/2025,12:18:52 AM,LC004078-016,0.3427,,mg/L,1.2
3/26/2025,12:19:06 AM,LC004078-018,0.4019,,mg/L,0.6
3/26/2025,12:19:18 AM,LC004078-019,0.0508,,mg/L,1.6
3/26/2025,12:19:34 AM,LC004078-020,0.1563,,mg/L,0.9
3/26/2025,12:19:48 AM,LC004078-021,0.0501,,mg/L,0.8
3/26/2025,12:20:04 AM,PATRON,0.8835,,mg/L,0.7
3/26/2025,12:20:18 AM,LC004078-022,0.7602,,mg/L,0.8
3/26/2025,12:20:30 AM,LC004078-023,0.0186,,mg/L,2.9
3/26/2025,12:20:44 AM,LC004078-024,0.0762,,mg/L,0.6
3/26/2025,12:20:56 AM,PATRON,0.8862,,mg/L,0.4
3/26/2025,12:21:38 AM,LC004078-010,0.212,,mg/L,0.9
3/26/2025,12:21:38 AM,BLANCO,,,mg/L,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
