"Analyst","samuel"
"Date Started","6/1/2023 12:21 AM  GMT: 6/1/2023 7:21 AM"
"Worksheet","LC000370_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"6/1/2023","1:00:14 AM","PATRON",0.8887,"","mg/L"
"6/1/2023","1:00:26 AM","BLANCO",0.0211,"","mg/L"
"6/1/2023","1:00:36 AM","REAGENT BLANK",0.0000,"","mg/L"
"6/1/2023","1:00:50 AM","LC000370-001",0.0113,"","mg/L"
"6/1/2023","1:01:00 AM","LC000370-002",0.0015,"","mg/L"
"6/1/2023","1:01:10 AM","LC000370-003",0.0125,"","mg/L"
"6/1/2023","1:01:20 AM","LC000370-004",0.0078,"","mg/L"
"6/1/2023","1:01:30 AM","LC000370-005",0.4398,"","mg/L"
"6/1/2023","1:01:42 AM","LC000370-006",0.0072,"","mg/L"
"6/1/2023","1:02:04 AM","PATRON",0.8958,"","mg/L"
"6/1/2023","1:02:16 AM","LC000370-007",0.0077,"","mg/L"
"6/1/2023","1:02:26 AM","LC000370-008",0.0118,"","mg/L"
"6/1/2023","1:03:30 AM","PATRON",0.8839,"","mg/L"
"6/1/2023","1:04:28 AM","LC000370-010",0.0138,"","mg/L"
"6/1/2023","1:04:40 AM","LC000370-011",0.0109,"","mg/L"
"6/1/2023","1:04:50 AM","LC000370-012",0.0106,"","mg/L"
"6/1/2023","1:05:02 AM","LC000370-013",0.0155,"","mg/L"
"6/1/2023","1:05:14 AM","LC000370-014",0.0229,"","mg/L"
"6/1/2023","1:05:24 AM","LC000370-015",0.0142,"","mg/L"
"6/1/2023","1:05:34 AM","LC000370-016",0.0447,"","mg/L"
"6/1/2023","1:05:44 AM","LC000370-017",0.0407,"","mg/L"
"6/1/2023","1:05:54 AM","LC000370-018",0.0233,"","mg/L"
"6/1/2023","1:06:06 AM","LC000370-019",0.0241,"","mg/L"
"6/1/2023","1:06:20 AM","PATRON",0.9034,"","mg/L"
"6/1/2023","1:06:34 AM","LC000370-020",0.0229,"","mg/L"
"6/1/2023","1:06:44 AM","LC000370-021",0.0344,"","mg/L"
"6/1/2023","1:06:56 AM","LC000370-022",0.1251,"","mg/L"
"6/1/2023","1:07:06 AM","LC000370-023",0.0131,"","mg/L"
"6/1/2023","1:07:16 AM","LC000370-024",0.0764,"","mg/L"
"6/1/2023","1:07:34 AM","PATRON",0.8987,"","mg/L"
"6/1/2023","1:07:56 AM","REAGENT BLANK",0.0000,"","mg/L"
"6/1/2023","1:08:56 AM","BLANCO",0.0386,"","mg/L"
"6/1/2023","1:09:06 AM","BLANCO",-0.0013,"","mg/L"
"6/1/2023","1:09:08 AM","REAGENT BLANK","","","mg/L"
