Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.317
Cabeza puntual retorno,Ag 328.07,0.3
Celda #(F1+F2),Ag 328.07,0.246
Puntual Noroeste,Ag 328.07,0.153
Tubo 3,Ag 328.07,0.131
NE Tubo 2,Ag 328.07,0.403
NE Tubo 4,Ag 328.07,0.078
Especial 1,Ag 328.07,1.426
Especial 2,Ag 328.07,2.528
Especial 3,Ag 328.07,0.067
Especial 4,Ag 328.07,0.05
Especial 5,Ag 328.07,1.351
Comp. Cola Columna,Ag 328.07,0.127
Barren,Ag 328.07,0.118
Barren Patios,Ag 328.07,0.101
Barren 2,Ag 328.07,0.109
NE Tubo 1,Ag 328.07,0.018
NE Tubo 5,Ag 328.07,0.099
NE Tubo 6,Ag 328.07,0.034
NE Tubo 7,Ag 328.07,0.108
Celda # 11-A,Ag 328.07,0.02
Celda # 11-B,Ag 328.07,0.016
Celda # 11-C,Ag 328.07,0.137
Celda # 6-F2,Ag 328.07,0.854
Celda #5-9,Ag 328.07,1.392
