Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,2.140
Comp. Cola Columna,Untitled 000,1.431
Barren,Untitled 000,1.208
Cabeza puntual retorno,Untitled 000,2.149
Celda # 11-A,Untitled 000,0.659
Celda # 11-B,Untitled 000,0.065
Celda # 11-C,Untitled 000,0.354
Celda # 6-F2,Untitled 000,0.040
Celda #5-9,Untitled 000,0.930
Celda #(F1+F2),Untitled 000,2.473
NE Tubo 1,Untitled 000,0.028
NE Tubo 2,Untitled 000,0.304
NE Tubo 4,Untitled 000,2.929
NE Tubo 5,Untitled 000,3.517
NE Tubo 6,Untitled 000,1.354
NE Tubo 7,Untitled 000,2.614
Puntual Noroeste,Untitled 000,2.399
Barren Patios,Untitled 000,1.172
Tubo 3,Untitled 000,2.828
Especial 1,Untitled 000,0.052
Especial 2,Untitled 000,0.035
Especial 3,Untitled 000,0.723
Especial 4,Untitled 000,1.694
Especial 5,Untitled 000,0.103
