Analista,JCAN,,,,,,,,,,
Fecha de inicio,28/01/2023 01:38 a. m.  GMT: 28/01/2023 07:38 a. m.,,,,,,,,,,
Hoja de trabajo,SA000169_3,,,,,,,,,,
Comentario,,,,,,,,,,,
Métodos,Au,,,,,,,,,,
,,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,
,,,,,,,,,,,
,CERO CAL,0,,mg/L,>100,-0.0004,-0.0004,-0.0008,0,-0.0002,
,PATRÓN 1,0.5,,mg/L,2.5,0.0152,-0.0006,0.0153,0.0154,0.0147,
,PATRÓN 2,1,,mg/L,0.3,0.0302,-0.0007,0.0301,0.0303,0.0303,
,PATRÓN 3,2,,mg/L,0.8,0.062,-0.0006,0.062,0.0615,0.0625,
,PATRÓN 4,5,,mg/L,1.3,0.1553,-0.0007,0.1533,0.1574,0.1551,
,PATRÓN 5,10,,mg/L,0.8,0.302,-0.0004,0.3,0.3047,0.3014,
,PATRON,0.5268,,mg/L,1.6,0.016,-0.001,0.0158,0.016,0.0163,
,BLANCO REACTIVO,0,,mg/L,>100,0.0003,-0.0006,-0.0002,0.0005,0.0005,
,BLANCO,-0.0094,,mg/L,>100,-0.0003,-0.0008,0.0005,-0.0007,-0.0007,
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0006,0.0002,0.0009,0.0001,
,SA000169-001,0.0482,,mg/L,2.4,0.0063,-0.0014,0.0062,0.0064,0.0061,
,SA000169-002,0.0877,,mg/L,2.3,0.0114,-0.0015,0.0112,0.0114,0.0117,
,SA000169-003,0.0798,,mg/L,1.3,0.0104,-0.0012,0.0102,0.0105,0.0105,
,SA000169-004,0.0734,,mg/L,2,0.0095,-0.0013,0.0096,0.0097,0.0093,
,SA000169-005,0.0861,,mg/L,3,0.0112,-0.0015,0.0115,0.0108,0.0113,
,CERO CAL,0,,mg/L,46.5,0.0005,-0.0007,0.0007,0.0002,0.0005,
,Ajuste Pendiente,1,,mg/L,1.9,0.0289,-0.0003,0.0283,0.0292,0.0292,
,PATRON,0.5096,,mg/L,4.1,0.0148,-0.0007,0.0154,0.0142,0.0148,
,SA000169-006,0.0893,,mg/L,4.5,0.0111,-0.0005,0.0116,0.0106,0.0111,
,SA000169-007,0.3202,,mg/L,0.8,0.0402,-0.0004,0.0405,0.04,0.04,
,SA000169-008,0.1185,,mg/L,1.7,0.0148,-0.0005,0.0147,0.015,0.0146,
,SA000169-009,0.08,,mg/L,5.9,0.0099,-0.0004,0.0101,0.0105,0.0093,
,SA000169-010,0.0215,,mg/L,9.6,0.0027,-0.0005,0.0027,0.0029,0.0024,26.26262626
,PATRON,0.5046,,mg/L,1.4,0.0146,-0.0006,0.0147,0.0144,0.0148,
,BLANCO,0.0035,,mg/L,>100,0.0001,-0.0002,0,0.0001,0.0002,
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0006,-0.0001,0.0002,0.0002,
,SA000169-011,0.028,,mg/L,7.9,0.0035,-0.0012,0.0036,0.0032,0.0036,
,SA000169-013,0.0336,,mg/L,3.8,0.0042,-0.0011,0.004,0.0042,0.0043,
,SA000169-014,0.0638,,mg/L,2,0.0079,-0.0014,0.0079,0.0081,0.0078,
,SA000169-015,0.083,,mg/L,4.3,0.0103,-0.0011,0.0098,0.0105,0.0107,
,PATRON,0.5007,,mg/L,1.8,0.0145,-0.0011,0.0148,0.0144,0.0143,
,SA000169-016,0.1507,,mg/L,4.9,0.0188,-0.0014,0.0196,0.0178,0.019,
,SA000169-017,0.0848,,mg/L,2.6,0.0106,-0.0013,0.0109,0.0105,0.0103,
,SA000169-018,0.0397,,mg/L,6.2,0.0049,-0.0012,0.0053,0.0047,0.0048,
,SA000169-019,0.0757,,mg/L,5.9,0.0094,-0.0011,0.0091,0.0101,0.0091,
,SA000169-020,0.0142,,mg/L,22.7,0.0018,-0.0012,0.002,0.0013,0.002,
,PATRON,0.513,,mg/L,1.6,0.0149,-0.0012,0.015,0.015,0.0146,
,BLANCO,0.0067,,mg/L,>100,0.0002,-0.001,-0.0001,0.0001,0.0005,
,BLANCO REACTIVO,0,,mg/L,84.3,0.0008,-0.0012,0,0.0011,0.0013,
,SA000169-021,0.0391,,mg/L,7.1,0.0048,-0.002,0.0049,0.0045,0.0052,
,SA000169-022,0.0342,,mg/L,5.4,0.0042,-0.0019,0.004,0.0044,0.0044,
,SA000169-023,0.0457,,mg/L,7.3,0.0057,-0.0019,0.0052,0.0061,0.0057,
,SA000169-024,0.045,,mg/L,5.4,0.0056,-0.0018,0.0052,0.0057,0.0058,
,SA000169-025,0.0454,,mg/L,11.1,0.0056,-0.0022,0.005,0.0057,0.0062,
,CERO CAL,0,,mg/L,>100,0.0002,-0.0007,0,0.0002,0.0004,
,Ajuste Pendiente,1,,mg/L,0.5,0.0293,-0.0004,0.0291,0.0293,0.0294,
,PATRON,0.4969,,mg/L,4.9,0.0146,-0.0007,0.0152,0.0148,0.0138,
,SA000169-026,0.1061,,mg/L,3.6,0.0134,-0.0003,0.0129,0.0135,0.0139,
,SA000169-027,0.0087,,mg/L,46.3,0.0011,-0.0006,0.0006,0.0016,0.0012,
,SA000169-028,0.0744,,mg/L,0.9,0.0094,-0.0007,0.0094,0.0095,0.0093,
,PATRON,0.4854,,mg/L,1.6,0.0143,-0.0006,0.014,0.0144,0.0144,
,SA000169-012,2.962,,mg/L,1.2,0.0378,-0.0006,0.0383,0.0374,0.0378,
,BLANCO,,,mg/L,,,,,,,
