Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.130
Comp. Cola Columna,Au 242.80,0.008
Barren,Au 242.80,0.011
Cabeza puntual retorno,Au 242.80,0.128
Celda # 11-A,Au 242.80,0.034
Celda # 11-B,Au 242.80,0.014
Celda # 11-C,Au 242.80,0.004
Celda # 6-F2,Au 242.80,0.032
Celda #5-9,Au 242.80,0.003
Celda #(F1+F2),Au 242.80,0.124
NE Tubo 1,Au 242.80,0.001
NE Tubo 2,Au 242.80,0.060
NE Tubo 4,Au 242.80,0.099
NE Tubo 5,Au 242.80,0.032
NE Tubo 6,Au 242.80,0.036
NE Tubo 7,Au 242.80,0.090
Puntual Noroeste,Au 242.80,0.136
Barren Patios,Au 242.80,0.016
Tubo 3,Au 242.80,0.207
Especial 1,Au 242.80,0.027
Especial 2,Au 242.80,0.008
Especial 3,Au 242.80,0.042
Especial 4,Au 242.80,0.033
Especial 5,Au 242.80,0.013
