Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.918
Comp. Cola Columna,Untitled 000,0.711
Barren,Untitled 000,0.584
Cabeza puntual retorno,Untitled 000,0.941
Celda # 11-A,Untitled 000,0.058
Celda # 11-B,Untitled 000,0.039
Celda # 11-C,Untitled 000,0.074
Celda # 6-F2,Untitled 000,0.333
Celda #5-9,Untitled 000,3.269
Celda #(F1+F2),Untitled 000,0.816
NE Tubo 1,Untitled 000,0.036
NE Tubo 2,Untitled 000,0.346
NE Tubo 4,Untitled 000,1.652
NE Tubo 5,Untitled 000,1.011
NE Tubo 6,Untitled 000,0.197
NE Tubo 7,Untitled 000,0.507
Puntual Noroeste,Untitled 000,0.62
Barren Patios,Untitled 000,0.543
Tubo 3,Untitled 000,0.421
Especial 1,Untitled 000,0.355
Especial 2,Untitled 000,0.052
Especial 3,Untitled 000,0.059
Especial 4,Untitled 000,0.24
Especial 5,Untitled 000,0.887
Especial 6,Untitled 000,0.028
