Analista,,,,,,
Fecha de inicio,19/01/2026 01:10 a. m.  GMT: 19/01/2026 08:10 a. m.,,,,,
Hoja de trabajo,LC006183_24,,,,,
Comentario,,,,,,
Métodos,"Au,Au",,,,,
,,,,,,
Método: Au (Llama),,,,,,
,,,,,,
19/01/2026,01:13:26 a. m.,PATRON,0.8974,,mg/L,0.6
19/01/2026,01:13:38 a. m.,BLANCO,0.0077,,mg/L,>100
19/01/2026,01:13:46 a. m.,REAGENT BLANK,0,,mg/L,49.4
19/01/2026,01:13:58 a. m.,LC006183-001,0.0532,,mg/L,1.2
19/01/2026,01:14:10 a. m.,LC006183-002,0.0745,,mg/L,1
19/01/2026,01:14:22 a. m.,LC006183-003,0.0051,,mg/L,9.7
19/01/2026,01:14:34 a. m.,LC006183-004,0.0279,,mg/L,3.3
19/01/2026,01:14:46 a. m.,LC006183-005,0.103,,mg/L,0.8
19/01/2026,01:14:58 a. m.,LC006183-006,0.308,,mg/L,0.7
19/01/2026,01:15:10 a. m.,PATRON,0.8759,,mg/L,0.5
19/01/2026,01:15:28 a. m.,LC006183-007,0.2258,,mg/L,1.8
19/01/2026,01:15:42 a. m.,LC006183-008,0.005,,mg/L,13.7
19/01/2026,01:15:54 a. m.,LC006183-009,0.1186,,mg/L,0.9
19/01/2026,01:16:06 a. m.,LC006183-010,0.0089,,mg/L,9.6
19/01/2026,01:16:20 a. m.,LC006183-011,0.0307,,mg/L,1.4
19/01/2026,01:16:34 a. m.,LC006183-012,0.0225,,mg/L,1.4
19/01/2026,01:16:46 a. m.,PATRON,0.881,,mg/L,0.8
19/01/2026,01:17:06 a. m.,LC006183-013,0.117,,mg/L,0.3
19/01/2026,01:17:18 a. m.,PATRON,0.8776,,mg/L,0.2
19/01/2026,01:17:28 a. m.,BLANCO,0.0042,,mg/L,27.8
19/01/2026,01:17:38 a. m.,REAGENT BLANK,0,,mg/L,31.3
,,,,,,
Método: Au AU ALTO (Llama),,,,,,
