Analyst,,,,,,
Date Started,3/11/2025 7:50 PM  GMT: 3/12/2025 2:50 AM,,,,,
Worksheet,LC003971_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/11/2025,8:03:08 PM,BLANCO,0.0077,,mg/L,46.6
3/11/2025,8:03:18 PM,REAGENT BLANK,0,,mg/L,63.9
3/11/2025,8:03:34 PM,LC003971-001,0.0314,,mg/L,1.8
3/11/2025,8:03:48 PM,LC003971-002,0.125,,mg/L,1.7
3/11/2025,8:04:02 PM,LC003971-003,0.0338,,mg/L,3.6
3/11/2025,8:04:14 PM,LC003971-004,0.021,,mg/L,5.8
3/11/2025,8:04:30 PM,LC003971-005,0.1112,,mg/L,1.7
3/11/2025,8:04:44 PM,LC003971-006,0.1186,,mg/L,0.3
3/11/2025,8:04:58 PM,PATRON,0.8747,,mg/L,0.6
3/11/2025,8:05:12 PM,LC003971-007,0.0322,,mg/L,3.8
3/11/2025,8:05:26 PM,LC003971-008,0.002,,mg/L,58.7
3/11/2025,8:05:40 PM,LC003971-009,OVER,R,mg/L,0
3/11/2025,8:05:56 PM,LC003971-010,0.0417,,mg/L,3.2
3/11/2025,8:06:10 PM,LC003971-011,0.1329,,mg/L,0.8
3/11/2025,8:06:24 PM,LC003971-012,0.0808,,mg/L,2.1
3/11/2025,8:10:26 PM,PATRON,0.873,,mg/L,0.7
3/11/2025,8:10:50 PM,LC003971-013,0.1255,,mg/L,0.8
3/11/2025,8:11:04 PM,LC003971-014,0.1428,,mg/L,0.7
3/11/2025,8:11:18 PM,LC003971-015,0.0239,,mg/L,2.2
3/11/2025,8:11:32 PM,LC003971-016,0.185,,mg/L,1
3/11/2025,8:11:46 PM,LC003971-017,0.1151,,mg/L,1.3
3/11/2025,8:12:02 PM,LC003971-018,0.0731,,mg/L,2.7
3/11/2025,8:12:46 PM,LC003971-019,0.0014,,mg/L,54.6
3/11/2025,8:13:00 PM,LC003971-020,0.0241,,mg/L,4.1
3/11/2025,8:13:16 PM,LC003971-021,0.052,,mg/L,3.9
3/11/2025,8:13:30 PM,LC003971-022,0.0495,,mg/L,2.1
3/11/2025,8:13:42 PM,PATRON,0.8758,,mg/L,0.2
3/11/2025,8:13:56 PM,BLANCO,0.0043,,mg/L,39
3/11/2025,8:14:04 PM,REAGENT BLANK,0,,mg/L,58.4
3/11/2025,8:14:58 PM,PATRON,0.8795,,mg/L,0.1
3/11/2025,8:15:08 PM,PATRON,0.8757,,mg/L,0.4
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
3/11/2025,8:17:46 PM,LC003971-009,3.3464,,mg/L,1.3
