Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.695
Comp. Cola Columna,Untitled 000,0.545
Barren,Untitled 000,0.548
Cabeza puntual retorno,Untitled 000,0.693
Celda # 11-A,Untitled 000,0.534
Celda # 11-B,Untitled 000,0.111
Celda # 11-C,Untitled 000,0.041
Celda #5-9,Untitled 000,0.058
Celda #(F1+F2),Untitled 000,0.069
NE Tubo 1,Untitled 000,0.097
NE Tubo 2,Untitled 000,0.276
NE Tubo 4,Untitled 000,0.086
NE Tubo 5,Untitled 000,0.153
NE Tubo 6,Untitled 000,0.184
NE Tubo 7,Untitled 000,0.706
Puntual Noroeste,Untitled 000,0.701
Barren Patios,Untitled 000,0.491
Tubo 3,Untitled 000,1.771
Especial 1,Untitled 000,0.057
Especial 2,Untitled 000,0.044
Especial 3,Untitled 000,0.978
Especial 4,Untitled 000,0.914
Especial 5,Untitled 000,0.107
Columna #1,Untitled 000,0.689
Columna #2,Untitled 000,0.682
Columna #3,Untitled 000,0.659
Columna #4,Untitled 000,0.613
Columna #5,Untitled 000,0.543
