"Analista",""
"Fecha de inicio","05:23 p. m. 12/02/2023"
"Hoja de trabajo","Sa000351_6"
"Comentario",""
"Métodos","Ag"

"Método: Ag VHAAAG (Llama)"

"Ag","PATRON",1.0009,"","mg/L",0.4,0.1246,0.1244,0.1251,0.1243
"Ag","BLANCO",-0.0003,"","mg/L",">100",0.0000,-0.0001,0.0000,0.0000
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",58.6,-0.0006,-0.0004,-0.0003,-0.0010
"Ag","SA000351-001",3.2724,"","mg/L",2.2,0.0171,0.0171,0.0167,0.0175
"Ag","SA000351-002",0.1532,"","mg/L",55.3,0.0008,0.0003,0.0012,0.0008
"Ag","SA000351-003",4.7889,"","mg/L",1.9,0.0244,0.0249,0.0242,0.0241
"Ag","SA000351-004",1.4440,"","mg/L",5.2,0.0075,0.0079,0.0071,0.0076
"Ag","SA000351-005",4.2016,"","mg/L",1.0,0.0217,0.0219,0.0215,0.0218
"Ag","PATRON",1.0160,"","mg/L",0.3,0.1264,0.1263,0.1269,0.1261
"Ag","SA000351-006",2.0494,"","mg/L",2.0,0.0107,0.0109,0.0106,0.0106
"Ag","SA000351-007",4.2054,"","mg/L",3.2,0.0216,0.0208,0.0221,0.0218
"Ag","SA000351-008",4.2535,"","mg/L",1.0,0.0215,0.0215,0.0217,0.0212
"Ag","SA000351-009",5.6092,"","mg/L",0.9,0.0292,0.0289,0.0293,0.0294
"Ag","SA000351-010",4.7764,"","mg/L",0.7,0.0241,0.0241,0.0239,0.0243
"Ag","PATRON",0.9914,"","mg/L",0.5,0.1234,0.1237,0.1227,0.1238
"Ag","BLANCO",0.0015,"","mg/L",">100",0.0002,0.0004,0.0003,-0.0001
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",">100",-0.0003,-0.0010,0.0002,-0.0001
"Ag","SA000351-011",-0.0035,"","mg/L",">100",0.0000,0.0000,-0.0001,0.0001
"Ag","SA000351-012",3.9510,"","mg/L",1.1,0.0206,0.0203,0.0208,0.0207
"Ag","SA000351-013",5.3492,"","mg/L",1.0,0.0279,0.0281,0.0279,0.0276
"Ag","SA000351-014",3.8325,"","mg/L",1.7,0.0194,0.0198,0.0191,0.0195
"Ag","SA000351-015",8.9181,"","mg/L",0.4,0.0460,0.0459,0.0463,0.0459
"Ag","PATRON",0.9869,"","mg/L",0.4,0.1228,0.1223,0.1231,0.1231
"Ag","SA000351-016",14.9375,"","mg/L",0.5,0.0779,0.0775,0.0782,0.0781
"Ag","SA000351-017",1.0929,"","mg/L",4.7,0.0055,0.0057,0.0052,0.0055
"Ag","SA000351-018",5.6763,"","mg/L",1.8,0.0289,0.0287,0.0285,0.0294
"Ag","SA000351-019",2.9250,"","mg/L",1.7,0.0150,0.0151,0.0147,0.0152
"Ag","SA000351-020",2.6207,"","mg/L",1.9,0.0134,0.0132,0.0134,0.0137
"Ag","PATRON",0.9971,"","mg/L",0.3,0.1241,0.1245,0.1241,0.1238
"Ag","BLANCO",0.0020,"","mg/L",">100",0.0002,0.0004,0.0006,-0.0002
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",48.0,-0.0003,-0.0005,-0.0002,-0.0002
"Ag","SA000351-021",6.1559,"","mg/L",0.3,0.0312,0.0311,0.0313,0.0311
"Ag","SA000351-022",3.9818,"","mg/L",1.0,0.0207,0.0204,0.0208,0.0207
"Ag","SA000351-023",2.9997,"","mg/L",4.4,0.0150,0.0148,0.0157,0.0144
"Ag","SA000351-024",5.7323,"","mg/L",0.9,0.0286,0.0284,0.0288,0.0287
"Ag","SA000351-025",3.8268,"","mg/L",3.3,0.0194,0.0191,0.0190,0.0201
"Ag","PATRON",0.9948,"","mg/L",0.8,0.1238,0.1249,0.1234,0.1232
"Ag","SA000351-026",6.3775,"","mg/L",0.5,0.0332,0.0330,0.0333,0.0331
"Ag","SA000351-027",5.0421,"","mg/L",2.1,0.0258,0.0252,0.0258,0.0263
"Ag","SA000351-028",5.8438,"","mg/L",1.2,0.0303,0.0307,0.0301,0.0301
"Ag","SA000351-029",10.5968,"","mg/L",0.7,0.0547,0.0549,0.0542,0.0550
"Ag","SA000351-030",4.6819,"","mg/L",0.9,0.0241,0.0238,0.0242,0.0242
"Ag","PATRON",0.9864,"","mg/L",0.8,0.1228,0.1217,0.1234,0.1232
"Ag","BLANCO",-0.0023,"","mg/L",">100",-0.0003,0.0001,-0.0006,-0.0003
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",38.8,-0.0005,-0.0007,-0.0004,-0.0004
"Ag","SA000351-031",3.1300,"","mg/L",2.3,0.0163,0.0158,0.0165,0.0165
"Ag","SA000351-032",6.6193,"","mg/L",1.4,0.0345,0.0340,0.0349,0.0348
"Ag","PATRON",0.9898,"","mg/L",0.4,0.1232,0.1226,0.1236,0.1234
"Ag","BLANCO",0.0012,"","mg/L",">100",0.0001,-0.0001,0.0002,0.0003
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",70.4,-0.0003,-0.0002,-0.0005,-0.0001
