Analyst,,,,,,
Date Started,7/30/2025 10:47 PM  GMT: 7/31/2025 5:47 AM,,,,,
Worksheet,LC005050_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
7/30/2025,11:07:36 PM,PATRON,0.8984,,mg/L,0.9
7/30/2025,11:07:52 PM,BLANCO,0.0011,,mg/L,>100
7/30/2025,11:08:02 PM,REAGENT BLANK,0,,mg/L,62.8
7/30/2025,11:08:14 PM,LC005050-001,0.4158,,mg/L,1.5
7/30/2025,11:08:24 PM,LC005050-002,0.1927,,mg/L,1.8
7/30/2025,11:08:44 PM,LC005050-004,0.3286,,mg/L,2
7/30/2025,11:08:54 PM,LC005050-005,0.1005,,mg/L,3.2
7/30/2025,11:09:04 PM,LC005050-006,0.1025,,mg/L,7.1
7/30/2025,11:09:14 PM,PATRON,0.9216,,mg/L,0.9
7/30/2025,11:09:36 PM,LC005050-008,0.0122,,mg/L,8.6
7/30/2025,11:09:52 PM,LC005050-009,0.077,,mg/L,4.8
7/30/2025,11:10:08 PM,LC005050-010,0.2796,,mg/L,1.7
7/30/2025,11:10:18 PM,LC005050-011,0.3967,,mg/L,0.7
7/30/2025,11:11:04 PM,LC005050-012,0.4108,,mg/L,0.3
7/30/2025,11:11:16 PM,PATRON,0.928,,mg/L,0.8
7/30/2025,11:11:30 PM,LC005050-013,0.0116,,mg/L,32.2
7/30/2025,11:11:40 PM,LC005050-014,0.1145,,mg/L,4.2
7/30/2025,11:11:50 PM,LC005050-015,0.1198,,mg/L,2.4
7/30/2025,11:12:00 PM,LC005050-016,0.164,,mg/L,2.1
7/30/2025,11:12:36 PM,LC005050-018,0.4483,,mg/L,0.5
7/30/2025,11:13:28 PM,PATRON,0.8884,,mg/L,1.2
7/30/2025,11:13:42 PM,LC005050-019,0.1093,,mg/L,3.2
7/30/2025,11:13:50 PM,LC005050-020,0.1119,,mg/L,0.9
7/30/2025,11:14:00 PM,LC005050-021,0.2425,,mg/L,1.6
7/30/2025,11:14:10 PM,LC005050-022,0.0013,,mg/L,>100
7/30/2025,11:14:20 PM,LC005050-023,0.1457,,mg/L,2.5
7/30/2025,11:14:30 PM,LC005050-024,0.3425,,mg/L,1
7/30/2025,11:15:38 PM,LC005050-003,0.0074,,mg/L,43.8
7/30/2025,11:16:10 PM,LC005050-017,0.0083,,mg/L,36.9
7/30/2025,11:17:24 PM,LC005050-007,0.438,,mg/L,0.6
7/30/2025,11:17:24 PM,PATRON,,,mg/L,
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
