Analista,,,,,,,,,,
Fecha de inicio,02/02/2023 10:33 p. m.  GMT: 03/02/2023 04:33 a. m.,,,,,,,,,
Hoja de trabajo,SA000228_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,CERO CAL,0,,mg/L,38,-0.0007,0.0007,-0.0007,-0.001,-0.0005
,PATRÓN 1,0.5,,mg/L,2.1,0.0145,-0.0009,0.0148,0.0142,0.0146
,PATRÓN 2,1,,mg/L,1.5,0.0298,-0.0007,0.0295,0.0296,0.0303
,PATRÓN 3,2,,mg/L,1.2,0.0605,-0.0009,0.06,0.0613,0.0602
,PATRÓN 4,5,,mg/L,0.1,0.1519,-0.0004,0.1518,0.1521,0.1518
,PATRÓN 5,10,,mg/L,0.4,0.3018,0,0.3006,0.3022,0.3027
,PATRON,0.5095,,mg/L,2.5,0.0149,-0.0006,0.0152,0.0151,0.0145
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0003,0.0002,-0.0003,-0.0003
,BLANCO,-0.0047,,mg/L,69.3,-0.0001,0.0003,-0.0002,-0.0002,0
,SA000228-001,0.0384,,mg/L,35.4,0.0048,0.0001,0.0068,0.0039,0.0037
,SA000228-002,0.0259,,mg/L,18.3,0.0032,0.0001,0.0026,0.0035,0.0036
,SA000228-003,0.0205,,mg/L,14.7,0.0026,0.0003,0.0027,0.0022,0.0029
,SA000228-004,0.0278,,mg/L,5.9,0.0035,0.0004,0.0037,0.0034,0.0033
,SA000228-005,0.0013,,mg/L,87.2,0.0002,0.0007,0.0002,0,0.0003
,PATRON,0.5021,,mg/L,2.6,0.0147,-0.0002,0.0143,0.0148,0.015
,SA000228-006,0.0046,,mg/L,46.7,0.0006,0.0003,0.0009,0.0005,0.0004
,SA000228-007,0.0449,,mg/L,3,0.0056,0.0002,0.0054,0.0057,0.0057
,SA000228-008,0.0325,,mg/L,5.8,0.0041,0.0006,0.0043,0.004,0.0039
,SA000228-010,0.6107,,mg/L,0.2,0.0791,0.0004,0.0792,0.0789,0.0792
,CERO CAL,0,,mg/L,18.8,-0.0009,0.0002,-0.0011,-0.0008,-0.0008
,PATRÓN 1,0.5,,mg/L,2.2,0.0142,-0.0001,0.0139,0.0145,0.0142
,PATRÓN 2,1,,mg/L,1,0.0297,-0.0002,0.0298,0.0293,0.0299
,PATRÓN 3,2,,mg/L,0.8,0.0612,-0.0002,0.0606,0.0615,0.0614
,PATRÓN 4,5,,mg/L,0.4,0.1531,0.0001,0.1533,0.1535,0.1524
,PATRÓN 5,10,,mg/L,0,0.3013,0.0002,0.3012,0.3012,0.3014
,PATRON,0.504,,mg/L,5.4,0.0146,0.0005,0.0155,0.0143,0.014
,BLANCO REACTIVO,0,,mg/L,25.8,-0.0011,0.0009,-0.0015,-0.0009,-0.001
,BLANCO,0.0028,,mg/L,>100,0.0001,0.002,0.0003,0,0
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0006,0.0001,0.0008,0.0001
BLANCO ,,,mg/L,,,,,,,
