Analyst,CD,,,,,
Date Started,5/27/2025 9:02 PM  GMT: 5/28/2025 4:02 AM,,,,,
Worksheet,LC004561_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
5/27/2025,9:53:58 PM,PATRON,0.9156,,mg/L,1.4
5/27/2025,9:54:22 PM,REAGENT BLANK,0,,mg/L,33.5
5/27/2025,9:54:46 PM,BLANCO,-0.0022,,mg/L,>100
5/27/2025,9:55:10 PM,LC004561-001,0.1017,,mg/L,3
5/27/2025,9:55:22 PM,LC004561-002,0.0069,,mg/L,41.8
5/27/2025,9:55:36 PM,LC004561-003,0.0548,,mg/L,3.6
5/27/2025,9:55:50 PM,LC004561-004,0.0382,,mg/L,0.2
5/27/2025,9:56:18 PM,LC004561-006,0.0626,,mg/L,5.7
5/27/2025,9:56:32 PM,PATRON,0.8755,,mg/L,0.9
5/27/2025,9:56:52 PM,LC004561-007,0.0763,,mg/L,4
5/27/2025,9:57:06 PM,LC004561-008,0.2428,,mg/L,1.3
5/27/2025,9:57:18 PM,LC004561-009,0.1507,,mg/L,0.9
5/27/2025,9:57:32 PM,LC004561-010,0.1895,,mg/L,0.2
5/27/2025,9:57:46 PM,LC004561-011,0.5875,,mg/L,0.3
5/27/2025,9:58:00 PM,LC004561-012,0.1735,,mg/L,1.4
5/27/2025,9:58:12 PM,PATRON,0.8755,,mg/L,0.5
5/27/2025,9:58:26 PM,LC004561-013,0.214,,mg/L,0.5
5/27/2025,9:58:36 PM,LC004561-014,OVER,R,mg/L,0
5/27/2025,9:58:50 PM,LC004561-015,0.0843,,mg/L,3.5
5/27/2025,9:59:02 PM,LC004561-016,0.0057,,mg/L,26
5/27/2025,9:59:16 PM,LC004561-017,0.2341,,mg/L,0.8
5/27/2025,9:59:30 PM,LC004561-018,0.1607,,mg/L,0.6
5/27/2025,10:02:34 PM,PATRON,0.8892,,mg/L,0.4
5/27/2025,10:02:58 PM,LC004561-019,0.1167,,mg/L,5.2
5/27/2025,10:03:10 PM,LC004561-020,0.1181,,mg/L,9.2
5/27/2025,10:03:24 PM,LC004561-021,0.0269,,mg/L,15.1
5/27/2025,10:03:44 PM,LC004561-022,0.0382,,mg/L,6.8
5/27/2025,10:03:44 PM,LC004561-023,,,mg/L,
5/27/2025,10:06:36 PM,BLANCO,0.0174,,mg/L,37.8
5/27/2025,10:06:46 PM,REAGENT BLANK,0,,mg/L,21.3
5/27/2025,10:10:56 PM,LC004561-005,0.8802,,mg/L,0.5
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
5/27/2025,10:13:24 PM,LC004561-014,2.5833,,mg/L,1.1
