Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.456
Comp. Cola Columna,Untitled 000,0.326
Barren,Untitled 000,0.327
Cabeza puntual retorno,Untitled 000,0.491
Celda # 11-A,Untitled 000,0.296
Celda # 11-B,Untitled 000,0.384
Celda # 11-C,Untitled 000,0.053
Celda # 6-F2,Untitled 000,0.106
Celda #5-9,Untitled 000,0.824
Celda #(F1+F2),Untitled 000,0.525
NE Tubo 1,Untitled 000,0.476
NE Tubo 2,Untitled 000,0.275
NE Tubo 4,Untitled 000,0.745
NE Tubo 5,Untitled 000,0.558
NE Tubo 6,Untitled 000,0.499
NE Tubo 7,Untitled 000,0.292
Puntual Noroeste,Untitled 000,0.057
Barren Patios,Untitled 000,0.274
Tubo 3,Untitled 000,0.674
Especial 1,Untitled 000,0.074
Especial 2,Untitled 000,0.056
Especial 3,Untitled 000,0.051
Especial 4,Untitled 000,0.04
Especial 5,Untitled 000,0.17
Especial 6,Untitled 000,0.021
