Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.138
Cabeza puntual retorno,Au 242.80,0.140
Celda #(F1+F2),Au 242.80,0.148
Puntual Noroeste,Au 242.80,0.117
Tubo 3,Au 242.80,0.162
Comp. Cola Columna,Au 242.80,0.009
Barren,Au 242.80,0.011
Celda # 11-A,Au 242.80,0.030
Celda # 11-B,Au 242.80,0.009
Celda # 11-C,Au 242.80,0.008
Celda # 6-F2,Au 242.80,0.246
Celda #5-9,Au 242.80,0.050
NE Tubo 1,Au 242.80,0.489
NE Tubo 2,Au 242.80,0.106
NE Tubo 4,Au 242.80,0.015
NE Tubo 5,Au 242.80,0.004
NE Tubo 6,Au 242.80,0.012
NE Tubo 7,Au 242.80,0.052
Barren Patios,Au 242.80,0.011
Especial 1,Au 242.80,0.167
Especial 2,Au 242.80,0.064
Especial 3,Au 242.80,0.009
Especial 4,Au 242.80,0.017
Especial 5,Au 242.80,0.058
