Analyst,EVE,,,,,
Date Started,5/11/2025 1:40 AM  GMT: 5/11/2025 8:40 AM,,,,,
Worksheet,LC004437,,,,,
Comment,,,,,,
Methods,Au,,,,,
,,,,,,
Method: Au ACIDO (Flame),,,,,,
,,,,,,
5/11/2025,2:46:36 AM,BLANCO,-0.0001,,mg/L,>100
5/11/2025,2:46:46 AM,REAGENT BLANK,0,,mg/L,>100
5/11/2025,2:47:04 AM,LC004437-001,0.1721,,mg/L,1.1
5/11/2025,2:47:20 AM,LC004437-002,0.1503,,mg/L,0.9
5/11/2025,2:48:12 AM,LC004437-003,0.0021,,mg/L,60.1
5/11/2025,2:48:24 AM,LC004437-004,0.3426,,mg/L,1.3
5/11/2025,2:48:38 AM,LC004437-005,0.0342,,mg/L,8.2
5/11/2025,2:48:50 AM,LC004437-006,0.0044,,mg/L,26.1
5/11/2025,2:49:06 AM,PATRON,0.9228,,mg/L,0.8
5/11/2025,2:49:40 AM,LC004437-008,0.134,,mg/L,1
5/11/2025,2:50:06 AM,LC004437-007,0.1342,,mg/L,0.5
5/11/2025,2:50:18 AM,LC004437-009,0.0478,,mg/L,3.3
5/11/2025,2:50:32 AM,LC004437-011,0.1793,,mg/L,1.3
5/11/2025,2:50:46 AM,LC004437-012,0.3261,,mg/L,0.6
5/11/2025,2:51:00 AM,PATRON,0.922,,mg/L,0.8
5/11/2025,2:51:18 AM,LC004437-013,0.0818,,mg/L,0.8
5/11/2025,2:51:30 AM,LC004437-014,0.0976,,mg/L,0.5
5/11/2025,2:51:42 AM,LC004437-015,0.0418,,mg/L,1.1
5/11/2025,2:51:56 AM,LC004437-016,0.0446,,mg/L,7.2
5/11/2025,2:52:08 AM,LC004437-017,0.4636,,mg/L,0.6
5/11/2025,2:52:24 AM,PATRON,0.9178,,mg/L,1.3
5/11/2025,2:52:38 AM,BLANCO,0.0067,,mg/L,32.1
5/11/2025,2:52:48 AM,REAGENT BLANK,0,,mg/L,>100
5/11/2025,5:50:26 AM,PATRON,0.9025,,mg/L,0.6
5/11/2025,5:50:44 AM,LC004437-010,0.1616,,mg/L,2.1
