Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.355
Cabeza puntual retorno,Untitled 000,0.343
Celda #(F1+F2),Untitled 000,0.316
Comp. Cola Columna,Untitled 000,0.216
Barren,Untitled 000,0.245
Celda # 11-A,Untitled 000,0.133
Celda # 11-B,Untitled 000,0.304
Celda # 11-C,Untitled 000,0.809
Celda #5-9,Untitled 000,0.245
Especial 1,Untitled 000,0.168
Especial 2,Untitled 000,0.412
Especial 3,Untitled 000,0.049
Especial 4,Untitled 000,0.041
Especial 5,Untitled 000,0.869
Columna #1,Untitled 000,0.299
Columna #2,Untitled 000,0.284
Columna #3,Untitled 000,0.263
Columna #4,Untitled 000,0.251
Columna #5,Untitled 000,0.197
NE Tubo 1,Untitled 000,0.030
NE Tubo 2,Untitled 000,0.044
NE Tubo 4,Untitled 000,0.076
NE Tubo 5,Untitled 000,0.029
NE Tubo 6,Untitled 000,0.028
NE Tubo 7,Untitled 000,0.086
Puntual Noroeste,Untitled 000,0.157
Barren Patios,Untitled 000,0.236
Tubo 3,Untitled 000,0.276
