Analista,,,,,,
Fecha de inicio,04/12/2025 06:04 p. m.  GMT: 05/12/2025 01:04 a. m.,,,,,
Hoja de trabajo,LC005927-RE_24,,,,,
Comentario,,,,,,
Métodos,Au,,,,,
,,,,,,
Método: Au ACIDO (Llama),,,,,,
,,,,,,
04/12/2025,06:11:38 p. m.,PATRON,0.9047,,mg/L,0.6
04/12/2025,06:12:02 p. m.,BLANCO,-0.0015,,mg/L,>100
04/12/2025,06:12:20 p. m.,REAGENT BLANK,0,,mg/L,5.6
04/12/2025,06:12:34 p. m.,LC005924-017,0.1128,,mg/L,1.7
04/12/2025,06:13:06 p. m.,LC005924-019,0.1061,,mg/L,2
04/12/2025,06:13:32 p. m.,LC005924-022,0.1604,,mg/L,0.4
04/12/2025,06:13:46 p. m.,LC005924-023,0.2432,,mg/L,0.4
04/12/2025,06:14:02 p. m.,PATRON,0.9183,,mg/L,0.3
04/12/2025,06:14:18 p. m.,LC005924-024,0.0493,,mg/L,3.2
04/12/2025,06:14:34 p. m.,PATRON,0.9056,,mg/L,0.6
04/12/2025,06:14:50 p. m.,BLANCO,-0.0006,,mg/L,>100
04/12/2025,06:15:12 p. m.,REAGENT BLANK,0,,mg/L,15.3
04/12/2025,06:16:14 p. m.,LC005924-018,0.1048,,mg/L,0.8
04/12/2025,06:18:28 p. m.,LC005924-020,0.0881,,mg/L,0.8
