Analista,,,,,,,,,,
Fecha de inicio,05/02/2023 12:59 a. m.  GMT: 05/02/2023 06:59 a. m.,,,,,,,,,
Hoja de trabajo,SA000252_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5011,,mg/L,0.2,0.0159,-0.0002,0.0159,0.0159,0.016
,BLANCO,0.0072,,mg/L,54.9,0.0002,0.0001,0.0002,0.0001,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0005,0.0001,0.0003,0
,SA000252-001,0.1503,,mg/L,3.1,0.0205,-0.0005,0.0212,0.0204,0.02
,SA000252-002,0.2348,,mg/L,0.9,0.0322,-0.0004,0.0319,0.0322,0.0325
,SA000252-003,0.2483,,mg/L,0.7,0.0341,-0.0006,0.0341,0.0343,0.0338
,SA000252-004,0.1651,,mg/L,1.4,0.0226,-0.0003,0.0227,0.0222,0.0229
,SA000252-005,0.1472,,mg/L,2.5,0.0201,-0.0004,0.0205,0.0203,0.0196
,PATRON,0.5083,,mg/L,1.5,0.0162,-0.0005,0.0161,0.016,0.0164
,SA000252-006,0.4581,,mg/L,0.8,0.0634,-0.0003,0.0629,0.0638,0.0636
,SA000252-007,0.3381,,mg/L,0.3,0.0466,0,0.0465,0.0468,0.0465
,SA000252-008,0.1435,,mg/L,1.3,0.0196,-0.0003,0.0193,0.0199,0.0196
,SA000252-009,0.7305,,mg/L,0.5,0.102,-0.0001,0.1017,0.1017,0.1026
,SA000252-010,0.3972,,mg/L,0.8,0.0549,0,0.0545,0.0548,0.0554
,PATRON,0.5118,,mg/L,0.2,0.0163,-0.0006,0.0163,0.0163,0.0163
,BLANCO,-0.0052,,mg/L,>100,-0.0002,-0.0008,-0.0005,0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,-0.0005,-0.0005,-0.0001,0
,SA000252-011,0.2526,,mg/L,0.1,0.0347,0,0.0347,0.0347,0.0346
,SA000252-012,0.4337,,mg/L,0.5,0.06,0,0.0597,0.0601,0.0603
,SA000252-013,0.3488,,mg/L,0.1,0.0481,0,0.0482,0.048,0.0481
,SA000252-014,0.3821,,mg/L,0.8,0.0528,0,0.0525,0.0533,0.0526
,SA000252-015,0.1614,,mg/L,0.6,0.0221,0.0001,0.022,0.022,0.0222
,PATRON,0.5124,,mg/L,0.7,0.0163,-0.0005,0.0163,0.0162,0.0164
,SA000252-016,0.8328,,mg/L,0.1,0.1165,0.0001,0.1167,0.1164,0.1164
,SA000252-017,0.2225,,mg/L,0.7,0.0305,0.0001,0.0307,0.0306,0.0303
,SA000252-018,0.1389,,mg/L,1,0.019,-0.0001,0.0189,0.0188,0.0192
,SA000252-019,0.3461,,mg/L,0.6,0.0477,0,0.048,0.0477,0.0474
,SA000252-020,0.0814,,mg/L,2.3,0.0111,-0.0004,0.0111,0.0113,0.0108
,PATRON,0.5101,,mg/L,1.1,0.0162,-0.0006,0.0164,0.0161,0.0161
,BLANCO,0.0019,,mg/L,>100,0.0001,-0.0004,0.0002,0,0
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0008,-0.0002,0.0002,0.0002
,SA000252-021,0.5488,,mg/L,0.9,0.0762,-0.0002,0.0759,0.0758,0.077
,SA000252-022,OVER,R,mg/L,0,0.3241,0.0002,0.3241,,
,SA000252-023,0.0035,,mg/L,51.6,0.0005,-0.0002,0.0007,0.0002,0.0005
,SA000252-024,0.0009,,mg/L,94.3,0.0001,-0.0003,0.0003,0,0.0001
,SA000252-025,0.493,,mg/L,0.7,0.0684,-0.0001,0.0678,0.0685,0.0687
,PATRON,0.5148,,mg/L,1,0.0164,-0.0008,0.0165,0.0165,0.0162
,SA000252-026,0.7067,,mg/L,0.3,0.0986,-0.0001,0.0984,0.0989,0.0984
,SA000252-027,1.5504,,mg/L,0.4,0.2172,0.0001,0.2165,0.2169,0.218
,SA000252-028,0.5638,,mg/L,0.8,0.0784,-0.0003,0.0778,0.0783,0.079
,SA000252-029,0.0641,,mg/L,2.4,0.0087,-0.0003,0.0087,0.0089,0.0085
,SA000252-030,1.0126,,mg/L,0.9,0.1421,0,0.1407,0.1423,0.1431
,PATRON,0.499,,mg/L,1.4,0.0159,-0.0009,0.0161,0.0157,0.0158
,BLANCO,-0.005,,mg/L,>100,-0.0002,-0.0008,0.0001,-0.0003,-0.0002
,BLANCO REACTIVO,0,,mg/L,35,-0.0002,-0.0004,-0.0001,-0.0002,-0.0003
,SA000252-031,0.3524,,mg/L,0.2,0.0486,-0.0001,0.0486,0.0486,0.0485
,SA000252-032,0.2238,,mg/L,0.7,0.0307,0,0.0309,0.0306,0.0305
,PATRON,0.5112,,mg/L,1.4,0.0163,-0.0004,0.0162,0.0161,0.0165
,BLANCO,0.0032,,mg/L,>100,0.0001,-0.0007,-0.0002,0.0001,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0009,0.0001,-0.0002,0
