Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,,0.13
Comp. Cola Columna,,0.005
Barren,,0.009
Cabeza puntual retorno,,0.132
Celda # 11-A,,0.048
Celda # 11-B,,0.027
Celda # 11-C,,0.011
Celda # 6-F2,,0.041
Celda #5-9,,0.014
Celda #(F1+F2),,0.129
NE Tubo 1,,0.002
NE Tubo 2,,0.104
NE Tubo 4,,0.108
NE Tubo 5,,0.05
NE Tubo 6,,0.053
NE Tubo 7,,0.142
Puntual Noroeste,,0.136
Barren Patios,,0.025
Tubo 3,,0.199
Especial 1,,0.101
Especial 2,,0.046
Especial 3,,0.117
Especial 4,,0.091
Especial 5,,0.04
