Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,1.249
Cabeza puntual retorno,Untitled 000,1.274
Celda #(F1+F2),Untitled 000,1.476
Puntual Noroeste,Untitled 000,1.358
Tubo 3,Untitled 000,0.252
NE Tubo 2,Untitled 000,0.358
NE Tubo 4,Untitled 000,0.055
Especial 1,Untitled 000,0.028
Especial 2,Untitled 000,0.036
Especial 3,Untitled 000,0.033
Especial 4,Untitled 000,0.037
Especial 5,Untitled 000,0.133
Comp. Cola Columna,Untitled 000,0.444
Barren,Untitled 000,0.485
Barren Patios,Untitled 000,0.498
NE Tubo 1,Untitled 000,3.272
NE Tubo 5,Untitled 000,2.915
NE Tubo 6,Untitled 000,4.672
NE Tubo 7,Untitled 000,0.636
Celda # 11-A,Untitled 000,0.05
Celda # 11-B,Untitled 000,0.095
Celda # 11-C,Untitled 000,0.046
Celda # 6-F2,Untitled 000,1.775
Celda #5-9,Untitled 000,0.032
