Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Untitled 000,0.558
Columna #2,Untitled 000,0.499
Columna #3,Untitled 000,0.461
Columna #4,Untitled 000,0.408
Columna #5,Untitled 000,0.339
Comp. Cabeza Columna,Untitled 000,0.598
Comp. Cola Columna,Untitled 000,0.358
Barren,Untitled 000,0.318
Cabeza puntual retorno,Untitled 000,0.589
Celda # 11-A,Untitled 000,1.037
Celda # 11-B,Untitled 000,0.238
Celda # 11-C,Untitled 000,0.055
Celda #5-9,Untitled 000,0.523
Celda #(F1+F2),Untitled 000,0.531
Especial 1,Untitled 000,0.033
Especial 2,Untitled 000,0.416
Especial 3,Untitled 000,0.044
Especial 4,Untitled 000,0.041
Especial 5,Untitled 000,0.657
NE Tubo 1,Untitled 000,0.027
NE Tubo 2,Untitled 000,0.332
NE Tubo 4,Untitled 000,0.270
NE Tubo 5,Untitled 000,0.064
NE Tubo 6,Untitled 000,0.605
NE Tubo 7,Untitled 000,0.211
Puntual Noroeste,Untitled 000,0.519
Barren Patios,Untitled 000,0.295
Tubo 3,Untitled 000,0.770
