Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.13
Cabeza puntual retorno,Au 242.80,0.129
Celda #(F1+F2),Au 242.80,0.139
Puntual Noroeste,Au 242.80,0.158
Tubo 3,Au 242.80,0.214
Comp. Cola Columna,Au 242.80,0.004
Barren,Au 242.80,0.005
Celda # 11-A,Au 242.80,0.048
Celda # 11-B,Au 242.80,0.016
Celda # 11-C,Au 242.80,0.019
Celda #5-9,Au 242.80,0.021
NE Tubo 1,Au 242.80,0.015
NE Tubo 2,Au 242.80,0.061
NE Tubo 4,Au 242.80,0.207
NE Tubo 5,Au 242.80,0.132
NE Tubo 6,Au 242.80,0.068
NE Tubo 7,Au 242.80,0.14
Barren Patios,Au 242.80,0.006
Especial 1,Au 242.80,0.048
Especial 2,Au 242.80,0.03
Especial 3,Au 242.80,0.212
Especial 4,Au 242.80,0.212
Especial 5,Au 242.80,0.031
Columna #1,Au 242.80,0.07
Columna #2,Au 242.80,0.043
Columna #3,Au 242.80,0.027
Columna #4,Au 242.80,0.017
Columna #5,Au 242.80,0.006
