Analyst,,,,,,
Date Started,8/7/2025 5:19 AM  GMT: 8/7/2025 12:19 PM,,,,,
Worksheet,LC005117_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
8/7/2025,5:46:52 AM,PATRON,0.8861,,mg/L,1.8
8/7/2025,5:47:04 AM,BLANCO,0.0041,,mg/L,>100
8/7/2025,5:47:14 AM,REAGENT BLANK,0,,mg/L,20.8
8/7/2025,5:47:28 AM,LC005117-001,0.1535,,mg/L,0.7
8/7/2025,5:47:42 AM,LC005117-002,0.1154,,mg/L,2.7
8/7/2025,5:47:56 AM,LC005117-003,0.0091,,mg/L,73.6
8/7/2025,5:48:12 AM,LC005117-004,0.1971,,mg/L,4.1
8/7/2025,5:48:28 AM,LC005117-005,0.2596,,mg/L,0.5
8/7/2025,5:48:42 AM,LC005117-006,0.3988,,mg/L,0.7
8/7/2025,5:49:26 AM,PATRON,0.8798,,mg/L,2.8
8/7/2025,5:49:42 AM,LC005117-007,0.395,,mg/L,1
8/7/2025,5:49:54 AM,LC005117-008,0.2629,,mg/L,1
8/7/2025,5:50:04 AM,LC005117-009,OVER,R,mg/L,0
8/7/2025,5:50:16 AM,LC005117-010,0.0962,,mg/L,5
8/7/2025,5:50:32 AM,LC005117-011,0.4904,,mg/L,0.3
8/7/2025,5:50:44 AM,LC005117-012,0.1452,,mg/L,5
8/7/2025,5:55:10 AM,PATRON,0.9142,,mg/L,1.2
8/7/2025,5:55:40 AM,LC005117-013,0.3311,,mg/L,1.5
8/7/2025,5:55:52 AM,LC005117-014,-0.0045,,mg/L,70.3
8/7/2025,5:56:06 AM,LC005117-015,0.1227,,mg/L,4.6
8/7/2025,5:56:22 AM,LC005117-016,0.3258,,mg/L,1
8/7/2025,5:56:38 AM,LC005117-017,0.1578,,mg/L,2.3
8/7/2025,5:56:52 AM,LC005117-018,0.133,,mg/L,7.4
8/7/2025,5:57:12 AM,PATRON,0.9161,,mg/L,0.8
8/7/2025,5:57:28 AM,LC005117-019,0.2457,,mg/L,1.2
8/7/2025,5:57:56 AM,LC005117-021,0.6361,,mg/L,0.5
8/7/2025,5:58:12 AM,LC005117-022,0.001,,mg/L,>100
8/7/2025,5:59:30 AM,PATRON,0.9015,,mg/L,1.4
8/7/2025,5:59:42 AM,BLANCO,-0.0051,,mg/L,94.3
8/7/2025,5:59:50 AM,REAGENT BLANK,0,,mg/L,>100
8/7/2025,6:00:16 AM,LC005117-020,0.2418,,mg/L,1.6
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
,,,,,,
,,,,,,
8/7/2025,6:01:54 AM,LC005117-009,5.1648,,mg/L,0.8
