Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.524
Comp. Cola Columna,Untitled 000,0.289
Barren,Untitled 000,0.317
Cabeza puntual retorno,Untitled 000,0.52
Celda # 11-A,Untitled 000,0.105
Celda # 11-B,Untitled 000,0.077
Celda # 11-C,Untitled 000,0.055
Celda #5-9,Untitled 000,0.045
Celda #(F1+F2),Untitled 000,0.518
NE Tubo 1,Untitled 000,0.028
NE Tubo 2,Untitled 000,0.18
NE Tubo 4,Untitled 000,0.19
NE Tubo 5,Untitled 000,0.066
NE Tubo 6,Untitled 000,0.156
NE Tubo 7,Untitled 000,1.002
Puntual Noroeste,Untitled 000,0.53
Barren Patios,Untitled 000,0.309
Tubo 3,Untitled 000,0.951
Especial 1,Untitled 000,0.076
Especial 2,Untitled 000,0.155
Especial 3,Untitled 000,0.674
Especial 4,Untitled 000,0.819
Especial 5,Untitled 000,0.1
Columna #1,Untitled 000,0.484
Columna #2,Untitled 000,0.428
Columna #3,Untitled 000,0.347
Columna #4,Untitled 000,0.286
Columna #5,Untitled 000,0.279
