"Analista",""
"Fecha de inicio","04:03 p. m. 12/02/2023"
"Hoja de trabajo","Sa000346_6"
"Comentario",""
"Métodos","Ag"

"Método: Ag VHAAAG (Llama)"

"Ag","PATRON",1.0043,"","mg/L",0.3,0.1244,0.1247,0.1240,0.1246
"Ag","BLANCO",0.0000,"","mg/L",">100",0.0000,0.0006,0.0000,-0.0007
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",28.6,0.0006,0.0007,0.0007,0.0004
"Ag","SA000346-001",3.8779,"","mg/L",2.4,0.0200,0.0200,0.0206,0.0196
"Ag","SA000346-002",4.6563,"","mg/L",0.3,0.0236,0.0235,0.0236,0.0236
"Ag","SA000346-003",4.5910,"","mg/L",0.8,0.0238,0.0236,0.0240,0.0238
"Ag","SA000346-004",5.7726,"","mg/L",0.6,0.0295,0.0294,0.0293,0.0297
"Ag","SA000346-005",5.0325,"","mg/L",2.0,0.0263,0.0269,0.0261,0.0258
"Ag","PATRON",1.0025,"","mg/L",0.3,0.1242,0.1246,0.1241,0.1240
"Ag","SA000346-006",4.4242,"","mg/L",0.9,0.0227,0.0225,0.0228,0.0229
"Ag","SA000346-007",4.5566,"","mg/L",1.1,0.0236,0.0236,0.0233,0.0238
"Ag","SA000346-008",4.8410,"","mg/L",1.0,0.0250,0.0251,0.0247,0.0252
"Ag","SA000346-009",5.3827,"","mg/L",1.0,0.0268,0.0266,0.0267,0.0271
"Ag","SA000346-010",6.6528,"","mg/L",1.4,0.0337,0.0332,0.0337,0.0342
"Ag","PATRON",0.9978,"","mg/L",0.4,0.1236,0.1234,0.1234,0.1242
"Ag","BLANCO",0.0062,"","mg/L",67.8,0.0008,0.0008,0.0012,0.0002
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",10.0,0.0005,0.0005,0.0004,0.0005
"Ag","SA000346-011",4.2442,"","mg/L",0.8,0.0212,0.0210,0.0213,0.0213
"Ag","SA000346-012",4.9530,"","mg/L",1.2,0.0255,0.0256,0.0257,0.0251
"Ag","SA000346-013",5.8984,"","mg/L",2.0,0.0299,0.0301,0.0304,0.0293
"Ag","SA000346-014",3.4906,"","mg/L",3.7,0.0176,0.0175,0.0170,0.0183
"Ag","SA000346-015",6.7821,"","mg/L",0.8,0.0349,0.0349,0.0346,0.0352
"Ag","PATRON",0.9977,"","mg/L",0.8,0.1236,0.1248,0.1228,0.1234
"Ag","SA000346-016",4.4776,"","mg/L",2.0,0.0232,0.0227,0.0235,0.0235
"Ag","SA000346-017",2.5482,"","mg/L",1.1,0.0133,0.0134,0.0133,0.0131
"Ag","SA000346-018",2.7536,"","mg/L",0.5,0.0139,0.0140,0.0139,0.0139
"Ag","SA000346-019",3.1547,"","mg/L",2.1,0.0163,0.0159,0.0165,0.0164
"Ag","SA000346-020",5.6133,"","mg/L",1.2,0.0283,0.0283,0.0286,0.0280
"Ag","PATRON",0.9930,"","mg/L",0.3,0.1231,0.1230,0.1234,0.1228
"Ag","BLANCO",0.0000,"","mg/L",">100",0.0000,-0.0004,0.0006,-0.0001
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",68.7,0.0003,0.0004,0.0005,0.0001
"Ag","SA000346-021",0.1768,"","mg/L",15.4,0.0009,0.0008,0.0010,0.0009
"Ag","SA000346-022",2.9341,"","mg/L",1.3,0.0147,0.0145,0.0147,0.0149
"Ag","SA000346-023",2.3739,"","mg/L",1.7,0.0121,0.0119,0.0120,0.0123
"Ag","SA000346-024",2.4856,"","mg/L",2.8,0.0128,0.0124,0.0130,0.0129
"Ag","SA000346-025",2.2822,"","mg/L",1.6,0.0116,0.0114,0.0118,0.0116
"Ag","PATRON",0.9975,"","mg/L",0.3,0.1236,0.1234,0.1234,0.1240
"Ag","SA000346-026",49.4027,"","mg/L",0.6,0.2504,0.2522,0.2498,0.2493
"Ag","SA000346-027",39.3588,"","mg/L",0.3,0.1979,0.1986,0.1977,0.1974
"Ag","SA000346-028",5.5882,"","mg/L",1.2,0.0277,0.0281,0.0274,0.0277
"Ag","SA000346-029",25.4507,"","mg/L",0.2,0.1297,0.1294,0.1299,0.1298
"Ag","SA000346-030",3.8897,"","mg/L",1.1,0.0203,0.0203,0.0205,0.0200
"Ag","PATRON",1.0026,"","mg/L",1.0,0.1242,0.1228,0.1250,0.1248
"Ag","BLANCO",0.0027,"","mg/L",">100",0.0003,0.0000,0.0004,0.0006
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",27.2,0.0011,0.0012,0.0007,0.0012
"Ag","SA000346-031",2.7142,"","mg/L",0.5,0.0140,0.0140,0.0141,0.0139
"Ag","SA000346-032",-0.0133,"","mg/L",">100",-0.0001,0.0003,-0.0001,-0.0004
"Ag","PATRON",0.9908,"","mg/L",0.8,0.1228,0.1217,0.1230,0.1236
"Ag","BLANCO",-0.0007,"","mg/L",">100",-0.0001,0.0003,0.0000,-0.0006
"Ag","BLANCO REACTIVO",0.0000,"","mg/L",38.9,0.0011,0.0015,0.0007,0.0010
