Comp. Cabeza Columna,Untitled 000,1.971
Comp. Cola Columna,Untitled 000,1.159
Barren,Untitled 000,1.461
Cabeza puntual retorno,Untitled 000,1.899
Celda # 11-A,Untitled 000,0.246
Celda # 11-B,Untitled 000,0.04
Celda # 11-C,Untitled 000,0.031
Celda #5-9,Untitled 000,0.64
Celda #(F1+F2),Untitled 000,2.239
NE Tubo 1,Untitled 000,0.036
NE Tubo 2,Untitled 000,1.339
NE Tubo 4,Untitled 000,2.498
NE Tubo 5,Untitled 000,1.579
NE Tubo 6,Untitled 000,2.939
NE Tubo 7,Untitled 000,0.448
Puntual Noroeste,Untitled 000,2.263
Barren Patios,Untitled 000,1.111
Tubo 3,Untitled 000,2.51
Especial 1,Untitled 000,0.122
Especial 2,Untitled 000,0.043
Especial 3,Untitled 000,0.302
Especial 4,Untitled 000,1.397
Especial 5,Untitled 000,0.063
Especial 6,Untitled 000,0.017
Columna #1,Untitled 000,1.678
Columna #2,Untitled 000,1.531
Columna #3,Untitled 000,1.399
Columna #4,Untitled 000,1.244
Columna #5,Untitled 000,1.057
