Analyst,,,,,,
Date Started,3/18/2025 1:45 AM  GMT: 3/18/2025 8:45 AM,,,,,
Worksheet,LC004015_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
3/18/2025,2:52:48 AM,PATRON,0.8914,,mg/L,0.7
3/18/2025,2:53:08 AM,BLANCO,0.0084,,mg/L,68.7
3/18/2025,2:53:18 AM,REAGENT BLANK,0,,mg/L,17.3
3/18/2025,2:53:36 AM,LC004015-001,0.2083,,mg/L,2.6
3/18/2025,2:53:50 AM,LC004015-002,0.0032,,mg/L,35.6
3/18/2025,2:54:02 AM,LC004015-003,0.3978,,mg/L,0.4
3/18/2025,2:54:22 AM,LC004015-004,0.0727,,mg/L,1.4
3/18/2025,2:54:36 AM,LC004015-005,0.2989,,mg/L,2.1
3/18/2025,2:54:50 AM,LC004015-006,0.092,,mg/L,0.9
3/18/2025,2:55:06 AM,PATRON,0.8887,,mg/L,1.4
3/18/2025,2:55:26 AM,LC004015-007,0.3003,,mg/L,0.7
3/18/2025,2:55:40 AM,LC004015-008,0.2322,,mg/L,1.1
3/18/2025,2:55:56 AM,LC004015-009,0.3921,,mg/L,0.8
3/18/2025,2:56:08 AM,LC004015-010,0.3439,,mg/L,0.9
3/18/2025,2:56:24 AM,LC004015-011,0.1242,,mg/L,0.6
3/18/2025,2:56:40 AM,LC004015-012,0.0045,,mg/L,19.7
3/18/2025,3:01:50 AM,PATRON,0.8862,,mg/L,0.7
3/18/2025,3:02:10 AM,LC004015-013,0.207,,mg/L,1.1
3/18/2025,3:02:26 AM,LC004015-014,0.1047,,mg/L,1.5
3/18/2025,3:02:40 AM,LC004015-015,0.0054,,mg/L,19.1
3/18/2025,3:02:54 AM,LC004015-016,0.0606,,mg/L,2.6
3/18/2025,3:03:08 AM,LC004015-017,0.1727,,mg/L,5
3/18/2025,3:04:06 AM,PATRON,0.8826,,mg/L,1.4
3/18/2025,3:04:22 AM,LC004015-019,0.0675,,mg/L,2.2
3/18/2025,3:04:36 AM,LC004015-020,0.585,,mg/L,1.9
3/18/2025,3:04:50 AM,LC004015-021,0.0801,,mg/L,1.4
3/18/2025,3:05:04 AM,LC004015-022,0.1505,,mg/L,4.2
3/18/2025,3:05:20 AM,LC004015-023,0.1058,,mg/L,6.3
3/18/2025,3:05:32 AM,LC004015-024,0.3335,,mg/L,1.9
3/18/2025,3:05:48 AM,PATRON,0.8766,,mg/L,0.5
3/18/2025,3:06:04 AM,BLANCO,0.006,,mg/L,23.3
3/18/2025,3:06:16 AM,REAGENT BLANK,0,,mg/L,80.8
3/18/2025,3:06:28 AM,REAGENT BLANK,0,,mg/L,59.9
3/18/2025,3:45:36 AM,LC004015-018,0.1149,,mg/L,1.2
