Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,2.074
Comp. Cola Columna,Untitled 000,1.191
Barren,Untitled 000,1.240
Cabeza puntual retorno,Untitled 000,2.011
Celda # 11-A,Untitled 000,0.289
Celda # 11-B,Untitled 000,0.035
Celda # 11-C,Untitled 000,0.029
Celda # 6-F2,Untitled 000,0.039
Celda #5-9,Untitled 000,0.763
Celda #(F1+F2),Untitled 000,2.359
NE Tubo 1,Untitled 000,0.022
NE Tubo 2,Untitled 000,1.273
NE Tubo 4,Untitled 000,2.780
NE Tubo 5,Untitled 000,1.852
NE Tubo 6,Untitled 000,2.785
NE Tubo 7,Untitled 000,0.467
Puntual Noroeste,Untitled 000,2.386
Barren Patios,Untitled 000,1.318
Tubo 3,Untitled 000,2.554
Especial 1,Untitled 000,0.223
Especial 2,Untitled 000,0.036
Especial 3,Untitled 000,0.421
Especial 4,Untitled 000,1.683
Especial 5,Untitled 000,0.065
