"Analyst",""
"Date Started","5/14/2025 9:43 PM  GMT: 5/15/2025 4:43 AM"
"Worksheet","LC004463_24"
"Comment",""
"Methods","Au,Au"

"Method: Au (Flame)"

"5/14/2025","10:45:32 PM","PATRON",0.9060,"","mg/L",0.4
"5/14/2025","10:45:46 PM","BLANCO",-0.0011,"","mg/L",">100"
"5/14/2025","10:45:56 PM","REAGENT BLANK",0.0000,"","mg/L",">100"
"5/14/2025","10:46:10 PM","LC004463-001",0.3632,"","mg/L",0.4
"5/14/2025","10:46:18 PM","LC004463-002","OVER","R","mg/L",0.0
"5/14/2025","10:46:30 PM","LC004463-003",0.6043,"","mg/L",0.8
"5/14/2025","10:46:42 PM","LC004463-004",0.0009,"","mg/L",">100"
"5/14/2025","10:47:20 PM","PATRON",0.9089,"","mg/L",0.3
"5/14/2025","10:47:44 PM","LC004463-008",0.8253,"","mg/L",0.3
"5/14/2025","10:48:32 PM","LC004463-005",0.0029,"","mg/L",27.6
"5/14/2025","10:49:10 PM","LC004463-006",0.3300,"","mg/L",0.6
"5/14/2025","10:49:20 PM","LC004463-007",0.3340,"","mg/L",0.5
"5/14/2025","10:49:58 PM","LC004463-009",0.4447,"","mg/L",1.0
"5/14/2025","10:49:58 PM","PATRON","","","mg/L",""

"Method: Au AU ALTO (Flame)"


"5/14/2025","10:51:34 PM","LC004463-002",2.1753,"","mg/L",0.5
"5/14/2025","10:51:34 PM","LC004463-003","","","mg/L",""
