Analyst,,,,,,
Date Started,9/21/2025 1:54 AM  GMT: 9/21/2025 8:54 AM,,,,,
Worksheet,LC005404_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
9/21/2025,4:45:44 AM,PATRON,0.9155,,mg/L,1.2
9/21/2025,4:45:54 AM,BLANCO,0.0137,,mg/L,30.1
9/21/2025,4:46:04 AM,REAGENT BLANK,0,,mg/L,20.7
9/21/2025,4:46:16 AM,LC005404-001,0.0639,,mg/L,2.2
9/21/2025,4:46:28 AM,LC005404-002,0.0173,,mg/L,7.7
9/21/2025,4:46:40 AM,LC005404-003,0.0246,,mg/L,2.6
9/21/2025,4:46:54 AM,LC005404-004,0.0324,,mg/L,1.1
9/21/2025,4:47:08 AM,LC005404-005,0.0429,,mg/L,3
9/21/2025,4:47:20 AM,LC005404-006,0.0257,,mg/L,2.4
9/21/2025,4:47:32 AM,PATRON,0.9083,,mg/L,0.4
9/21/2025,4:47:48 AM,LC005404-007,0.2311,,mg/L,1
9/21/2025,4:48:02 AM,LC005404-008,0.0435,,mg/L,2.6
9/21/2025,4:48:16 AM,LC005404-009,0.0325,,mg/L,2.4
9/21/2025,4:48:28 AM,LC005404-010,0.0058,,mg/L,25.1
9/21/2025,4:48:42 AM,LC005404-011,0.0219,,mg/L,5.4
9/21/2025,4:48:56 AM,LC005404-012,0.0495,,mg/L,1.4
9/21/2025,4:49:08 AM,PATRON,0.9154,,mg/L,0.2
9/21/2025,4:49:20 AM,LC005404-013,0.2217,,mg/L,1.4
9/21/2025,4:49:32 AM,LC005404-014,0.3564,,mg/L,0.5
9/21/2025,4:50:00 AM,LC005404-016,0.1216,,mg/L,1.4
9/21/2025,4:50:12 AM,LC005404-017,0.0048,,mg/L,25
9/21/2025,4:50:26 AM,LC005404-018,0.0383,,mg/L,3.2
9/21/2025,4:50:40 AM,PATRON,0.9006,,mg/L,1
9/21/2025,4:50:52 AM,LC005404-019,0.1033,,mg/L,1.4
9/21/2025,4:51:04 AM,LC005404-020,0.0911,,mg/L,1.4
9/21/2025,4:51:16 AM,LC005404-021,0.2196,,mg/L,0.7
9/21/2025,4:51:30 AM,LC005404-022,0.0734,,mg/L,1.6
9/21/2025,4:51:42 AM,LC005404-023,0.054,,mg/L,2.5
9/21/2025,4:51:54 AM,LC005404-024,0.1155,,mg/L,0.7
9/21/2025,4:52:08 AM,PATRON,0.8941,,mg/L,0.2
9/21/2025,4:52:18 AM,PATRON,0.8999,,mg/L,1.3
9/21/2025,4:53:20 AM,LC005404-015,0.1239,,mg/L,0.6
9/21/2025,4:53:30 AM,BLANCO,0.0025,,mg/L,>100
9/21/2025,4:53:40 AM,REAGENT BLANK,0,,mg/L,10.8
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
