Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,0.625
Comp. Cola Columna,Untitled 000,0.359
Barren,Untitled 000,0.299
Cabeza puntual retorno,Untitled 000,0.612
Celda # 11-A,Untitled 000,0.114
Celda # 11-B,Untitled 000,0.331
Celda # 11-C,Untitled 000,0.047
Celda #5-9,Untitled 000,0.518
Celda #(F1+F2),Untitled 000,0.563
NE Tubo 1,Untitled 000,0.02
NE Tubo 2,Untitled 000,0.566
NE Tubo 4,Untitled 000,0.147
NE Tubo 5,Untitled 000,0.073
NE Tubo 6,Untitled 000,0.509
NE Tubo 7,Untitled 000,0.316
Puntual Noroeste,Untitled 000,0.334
Barren Patios,Untitled 000,0.263
Tubo 3,Untitled 000,0.41
Especial 1,Untitled 000,0.288
Especial 2,Untitled 000,0.077
Especial 3,Untitled 000,0.034
Especial 4,Untitled 000,0.041
Especial 5,Untitled 000,0.039
Especial 6,Untitled 000,0.498
Columna #1,Untitled 000,0.512
Columna #2,Untitled 000,0.48
Columna #3,Untitled 000,0.411
Columna #5,Untitled 000,0.272
