Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.979
Comp. Cola Columna,Untitled 000,0.625
Barren,Untitled 000,0.633
Cabeza puntual retorno,Untitled 000,0.971
Celda # 11-A,Untitled 000,1.927
Celda # 11-B,Untitled 000,0.105
Celda # 11-C,Untitled 000,0.106
Celda # 6-F2,Untitled 000,0.106
Celda #5-9,Untitled 000,0.048
Celda #(F1+F2),Untitled 000,1.232
NE Tubo 1,Untitled 000,0.029
NE Tubo 2,Untitled 000,1.781
NE Tubo 4,Untitled 000,1.569
NE Tubo 5,Untitled 000,0.925
NE Tubo 6,Untitled 000,1.915
NE Tubo 7,Untitled 000,0.625
Puntual Noroeste,Untitled 000,1.213
Barren Patios,Untitled 000,0.814
Tubo 3,Untitled 000,1.01
Especial 1,Untitled 000,0.145
Especial 2,Untitled 000,0.09
Especial 3,Untitled 000,1.691
Especial 4,Untitled 000,1.472
Especial 5,Untitled 000,0.079
