Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.66
Comp. Cola Columna,Untitled 000,1.021
Barren,Untitled 000,1.223
Cabeza puntual retorno,Untitled 000,1.661
Celda # 11-A,Untitled 000,2.67
Celda # 11-B,Untitled 000,7.278
Celda # 11-C,Untitled 000,4.472
Celda # 6-F2,Untitled 000,0.92
Celda #5-9,Untitled 000,0.047
Celda #(F1+F2),Untitled 000,1.229
NE Tubo 1,Untitled 000,2.174
NE Tubo 2,Untitled 000,0.611
NE Tubo 4,Untitled 000,1.663
NE Tubo 5,Untitled 000,0.427
NE Tubo 6,Untitled 000,1.042
NE Tubo 7,Untitled 000,3.189
Puntual Noroeste,Untitled 000,1.191
Barren Patios,Untitled 000,1.086
Tubo 3,Untitled 000,0.826
Especial 1,Untitled 000,0.063
Especial 2,Untitled 000,0.059
Especial 3,Untitled 000,0.08
Especial 4,Untitled 000,0.09
Especial 5,Untitled 000,0.069
Especial 6,Untitled 000,0.046
