Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Au 242.80,0.140
Comp. Cola Columna,Au 242.80,0.006
Barren,Au 242.80,0.004
Cabeza puntual retorno,Au 242.80,0.141
Celda # 11-A,Au 242.80,0.023
Celda # 11-B,Au 242.80,0.003
Celda # 11-C,Au 242.80,0.002
Celda # 6-F2,Au 242.80,0.021
Celda #5-9,Au 242.80,0.092
Celda #(F1+F2),Au 242.80,0.156
NE Tubo 1,Au 242.80,0.002
NE Tubo 2,Au 242.80,0.083
NE Tubo 4,Au 242.80,0.080
NE Tubo 5,Au 242.80,0.234
NE Tubo 6,Au 242.80,0.124
NE Tubo 7,Au 242.80,0.290
Puntual Noroeste,Au 242.80,0.154
Barren Patios,Au 242.80,0.004
Tubo 3,Au 242.80,0.172
Especial 1,Au 242.80,0.032
Especial 2,Au 242.80,0.069
Especial 3,Au 242.80,0.040
Especial 4,Au 242.80,0.078
Especial 5,Au 242.80,0.084
