Sample ID,Analyte Name,Reported Conc (Calib)
Comp. Cabeza Columna,Untitled 000,1.332
Comp. Cola Columna,Untitled 000,0.658
Barren,Untitled 000,0.577
Cabeza puntual retorno,Untitled 000,1.35
Celda # 11-A,Untitled 000,0.091
Celda # 11-B,Untitled 000,0.061
Celda # 11-C,Untitled 000,0.031
Celda # 6-F2,Untitled 000,3.953
Celda #5-9,Untitled 000,0.022
Celda #(F1+F2),Untitled 000,0.839
NE Tubo 1,Untitled 000,3.207
NE Tubo 2,Untitled 000,0.281
NE Tubo 4,Untitled 000,0.836
NE Tubo 5,Untitled 000,0.239
NE Tubo 6,Untitled 000,0.147
NE Tubo 7,Untitled 000,1.243
Puntual Noroeste,Untitled 000,1.694
Barren Patios,Untitled 000,0.755
Tubo 3,Untitled 000,2.724
Especial 1,Untitled 000,0.091
Especial 2,Untitled 000,0.05
Especial 3,Untitled 000,0.13
Especial 4,Untitled 000,0.088
Especial 5,Untitled 000,0.049
Especial 6,Untitled 000,0.03
