Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.912
Cabeza puntual retorno,Untitled 000,0.948
Celda #(F1+F2),Untitled 000,1.354
Puntual Noroeste,Untitled 000,1.366
Tubo 3,Untitled 000,1.415
Comp. Cola Columna,Untitled 000,0.466
Barren,Untitled 000,0.463
Celda # 11-A,Untitled 000,0.214
Celda # 11-B,Untitled 000,0.061
Celda # 11-C,Untitled 000,0.025
Celda # 6-F2,Untitled 000,0.056
Celda #5-9,Untitled 000,0.265
NE Tubo 1,Untitled 000,0.026
NE Tubo 2,Untitled 000,1.331
NE Tubo 4,Untitled 000,0.201
NE Tubo 5,Untitled 000,0.706
NE Tubo 6,Untitled 000,3.347
NE Tubo 7,Untitled 000,0.345
Barren Patios,Untitled 000,0.425
Especial 1,Untitled 000,0.135
Especial 2,Untitled 000,0.043
Especial 3,Untitled 000,0.126
Especial 4,Untitled 000,0.275
Especial 5,Untitled 000,0.076
