Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.123
Comp. Cola Columna,Au 242.80,0.002
Barren,Au 242.80,0.009
Cabeza puntual retorno,Au 242.80,0.122
Columna #1,Au 242.80,0.082
Columna #2,Au 242.80,0.05
Columna #3,Au 242.80,0.028
Columna #4,Au 242.80,0.015
Columna #5,Au 242.80,0.004
Celda # 11-A,Au 242.80,0.049
Celda # 11-B,Au 242.80,0.021
Celda # 11-C,Au 242.80,0.008
Celda #5-9,Au 242.80,0.062
Celda #(F1+F2),Au 242.80,0.121
NE Tubo 1,Au 242.80,0.009
NE Tubo 2,Au 242.80,0.112
NE Tubo 4,Au 242.80,0.081
NE Tubo 5,Au 242.80,0.044
NE Tubo 6,Au 242.80,0.066
NE Tubo 7,Au 242.80,0.143
Puntual Noroeste,Au 242.80,0.125
Barren Patios,Au 242.80,0.013
Tubo 3,Au 242.80,0.188
Especial 1,Au 242.80,0.096
Especial 2,Au 242.81,0.02
Especial 3,Au 242.82,0.147
Especial 4,Au 242.83,0.131
Especial 5,Au 242.84,0.043
