Analyst,,,,,,
Date Started,7/22/2025 10:42 AM  GMT: 7/22/2025 5:42 PM,,,,,
Worksheet,LC004998_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
7/22/2025,10:59:16 AM,PATRON,0.8955,,mg/L,0.6
7/22/2025,10:59:28 AM,BLANCO,0.008,,mg/L,21.2
7/22/2025,10:59:36 AM,REAGENT BLANK,0,,mg/L,13
7/22/2025,11:00:04 AM,LC004998-002,0.0634,,mg/L,2.4
7/22/2025,11:00:16 AM,LC004998-003,-0.0062,,mg/L,14
7/22/2025,11:00:28 AM,LC004998-004,0.1762,,mg/L,1.6
7/22/2025,11:00:42 AM,LC004998-005,0.0772,,mg/L,1
7/22/2025,11:00:54 AM,LC004998-006,0.1181,,mg/L,0.7
7/22/2025,11:01:08 AM,PATRON,0.9033,,mg/L,0.9
7/22/2025,11:01:20 AM,LC004998-007,0.1414,,mg/L,1.6
7/22/2025,11:01:34 AM,LC004998-008,-0.0046,,mg/L,11.5
7/22/2025,11:01:46 AM,LC004998-009,0.6389,,mg/L,0.5
7/22/2025,11:02:00 AM,LC004998-010,0.7446,,mg/L,0.7
7/22/2025,11:02:16 AM,LC004998-011,0.0967,,mg/L,1.7
7/22/2025,11:02:28 AM,LC004998-012,0.2816,,mg/L,0.5
7/22/2025,11:02:42 AM,PATRON,0.9006,,mg/L,0.7
7/22/2025,11:02:54 AM,LC004998-013,0.0949,,mg/L,0.9
7/22/2025,11:03:08 AM,LC004998-014,0.2354,,mg/L,0.4
7/22/2025,11:03:22 AM,LC004998-015,0.0503,,mg/L,1.9
7/22/2025,11:03:36 AM,LC004998-016,0.2841,,mg/L,0.4
7/22/2025,11:03:50 AM,LC004998-017,0.294,,mg/L,0.1
7/22/2025,11:04:04 AM,LC004998-018,0.2717,,mg/L,0.9
7/22/2025,11:04:18 AM,PATRON,0.8986,,mg/L,0.5
7/22/2025,11:04:32 AM,LC004998-019,0.0919,,mg/L,0.7
7/22/2025,11:04:44 AM,LC004998-020,0.7329,,mg/L,1
7/22/2025,11:04:58 AM,LC004998-021,0.1184,,mg/L,1.1
7/22/2025,11:05:12 AM,LC004998-022,0.2233,,mg/L,0.9
7/22/2025,11:05:26 AM,LC004998-023,0.0009,,mg/L,58.3
7/22/2025,11:05:40 AM,LC004998-024,0.4562,,mg/L,1
7/22/2025,11:05:52 AM,PATRON,0.9,,mg/L,0.6
7/22/2025,11:06:02 AM,PATRON,0.9077,,mg/L,0.5
7/22/2025,11:06:16 AM,BLANCO,0.0191,,mg/L,3.8
7/22/2025,11:06:24 AM,REAGENT BLANK,0,,mg/L,7.1
7/22/2025,11:08:10 AM,LC004998-001,0.0631,,mg/L,3.9
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
