Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Untitled 000,0.386
Cabeza puntual retorno,Untitled 000,0.381
Celda #(F1+F2),Untitled 000,0.406
Puntual Noroeste,Untitled 000,0.368
Tubo 3,Untitled 000,0.396
NE Tubo 2,Untitled 000,0.158
NE Tubo 4,Untitled 000,0.433
Especial 1,Untitled 000,0.031
Especial 2,Untitled 000,0.034
Especial 3,Untitled 000,0.227
Especial 4,Untitled 000,0.552
Especial 5,Untitled 000,0.04
Comp. Cola Columna,Untitled 000,0.283
Barren,Untitled 000,0.281
Barren Patios,Untitled 000,0.3
NE Tubo 1,Untitled 000,0.031
NE Tubo 5,Untitled 000,0.155
NE Tubo 6,Untitled 000,0.135
NE Tubo 7,Untitled 000,0.536
Celda # 11-A,Untitled 000,0.351
Celda # 11-B,Untitled 000,0.242
Celda # 11-C,Untitled 000,0.031
Celda # 6-F2,Untitled 000,0.028
Celda #5-9,Untitled 000,0.025
