Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Au 242.80,0.100
Cabeza puntual retorno,Au 242.80,0.096
Celda #(F1+F2),Au 242.80,0.102
Puntual Noroeste,Au 242.80,0.070
Tubo 3,Au 242.80,0.065
Comp. Cola Columna,Au 242.80,0.008
Barren,Au 242.80,0.017
Celda # 11-A,Au 242.80,0.097
Celda # 11-B,Au 242.80,0.030
Celda # 11-C,Au 242.80,0.081
Celda # 6-F2,Au 242.80,0.366
Celda #5-9,Au 242.80,0.080
NE Tubo 1,Au 242.80,0.019
NE Tubo 2,Au 242.80,0.202
NE Tubo 4,Au 242.80,0.052
NE Tubo 5,Au 242.80,0.048
NE Tubo 6,Au 242.80,0.050
NE Tubo 7,Au 242.80,0.019
Barren Patios,Au 242.80,0.021
Especial 1,Au 242.80,0.081
Especial 2,Au 242.80,0.081
Especial 3,Au 242.80,0.033
Especial 4,Au 242.80,0.030
Especial 5,Au 242.80,0.069
Barren 2,Au 242.80,0.014
