Analista,JCAN,,,,,,,
Fecha de inicio,7/9/2022 12:15 AM  GMT: 7/9/2022 5:15 AM,,,,,,,
Hoja de trabajo,SA000037_6,,,,,,,
Comentario,,,,,,,,
Métodos,Ag,,,,,,,
,,,,,,,,
Método: Ag VHAA-Ag (Llama),,,,,,,,
,,,,,,,,
,PATRON,1.0218,,mg/L,0.1149,0.116,0.1152,0.1136
,BLANCO,-0.0034,,mg/L,-0.0004,-0.001,0.0005,-0.0006
,BLANCO REACTIVO,0,,mg/L,0.001,0.0008,0.001,0.0011
,SA000037-001,0.9071,,mg/L,0.0043,0.0044,0.0052,0.0033
,SA000037-002,0.8757,,mg/L,0.0041,0.0039,0.0044,0.004
,SA000037-003,0.0766,,mg/L,0.0004,-0.0001,0.0003,0.0008
,SA000037-004,0.2761,,mg/L,0.0013,0.0011,0.0013,0.0015
,SA000037-005,0.2133,,mg/L,0.001,0.001,0.0006,0.0014
,SA000037-006,0.2173,,mg/L,0.001,0.0011,0.0013,0.0006
,SA000037-007,0.0713,,mg/L,0.0003,0.0007,-0.0003,0.0006
,SA000037-008,0.2168,,mg/L,0.001,0.0009,0.0013,0.0009
,SA000037-009,0.1971,,mg/L,0.0009,0.0006,0.0009,0.0013
,SA000037-010,0.2285,,mg/L,0.0011,0.0018,0.0002,0.0012
,PATRON,1.0176,,mg/L,0.1145,0.1159,0.1123,0.1153
,BLANCO,-0.0014,,mg/L,-0.0002,0.0004,-0.001,0.0001
,BLANCO REACTIVO,0,,mg/L,0.0006,0.0002,0.0005,0.001
,SA000037-011,0.3564,,mg/L,0.0017,0.0024,0.0008,0.0018
,SA000037-012,0.2594,,mg/L,0.0012,0.0003,0.0013,0.0021
,SA000037-013,0.3619,,mg/L,0.0017,0.0014,0.0018,0.0018
,SA000037-014,23.4598,,mg/L,0.1072,0.1075,0.1066,0.1076
,PATRON,1.0139,,mg/L,0.1141,0.1158,0.1189,0.1076
,BLANCO,-0.0021,,mg/L,-0.0002,0.0003,-0.0008,-0.0003
,BLANCO REACTIVO,0,,mg/L,0.0007,0.0012,0.0004,0.0005
