Analista,JUDAS,,,,
Fecha de inicio,8/19/2023 1:51 AM  GMT: 8/19/2023 8:51 AM,,,,
Hoja de trabajo,LC001013_24,,,,
Comentario,,,,,
Métodos,"Au,Au",,,,
,,,,,
Método: Au (Llama),,,,,
,,,,,
8/19/2023,2:04:48 AM,PATRON,0.9004,,mg/L
8/19/2023,2:05:08 AM,BLANCO,-0.0019,,mg/L
8/19/2023,2:05:18 AM,BLANCO REACTIVO REAG,0.0255,,mg/L
8/19/2023,2:05:38 AM,LC001013-001,0.0114,,mg/L
8/19/2023,2:05:48 AM,LC001013-002,0.0041,,mg/L
8/19/2023,2:06:02 AM,LC001013-003,0.0089,,mg/L
8/19/2023,2:06:16 AM,LC001013-004,0.0038,,mg/L
8/19/2023,2:06:30 AM,LC001013-005,0.0078,,mg/L
8/19/2023,2:06:42 AM,LC001013-006,0.005,,mg/L
8/19/2023,2:06:58 AM,PATRON,0.8862,,mg/L
8/19/2023,2:07:14 AM,LC001013-007,0.0102,,mg/L
8/19/2023,2:07:24 AM,LC001013-008,0.0251,,mg/L
8/19/2023,2:07:36 AM,LC001013-009,0.0968,,mg/L
8/19/2023,2:07:48 AM,LC001013-010,0.0141,,mg/L
8/19/2023,2:08:02 AM,LC001013-011,0.0108,,mg/L
8/19/2023,2:08:14 AM,LC001013-012,0.1008,,mg/L
8/19/2023,2:08:32 AM,PATRON,0.883,,mg/L
8/19/2023,2:09:32 AM,LC001013-013,-0.002,,mg/L
8/19/2023,2:09:46 AM,LC001013-014,0.0044,,mg/L
8/19/2023,2:09:56 AM,LC001013-015,0.0321,,mg/L
8/19/2023,2:10:08 AM,LC001013-016,0.0232,,mg/L
8/19/2023,2:10:18 AM,LC001013-017,0.0447,,mg/L
8/19/2023,2:10:32 AM,LC001013-018,0.1215,,mg/L
8/19/2023,2:10:46 AM,PATRON,0.8894,,mg/L
8/19/2023,2:11:04 AM,LC001013-019,0.0677,,mg/L
8/19/2023,2:11:18 AM,LC001013-020,0.0359,,mg/L
8/19/2023,2:11:30 AM,LC001013-021,0.0055,,mg/L
8/19/2023,2:11:42 AM,LC001013-022,0.0206,,mg/L
8/19/2023,2:11:54 AM,LC001013-023,0.0267,,mg/L
8/19/2023,2:12:06 AM,LC001013-024,0.0466,,mg/L
8/19/2023,2:12:24 AM,PATRON,0.8982,,mg/L
8/19/2023,2:12:24 AM,PATRON,,,mg/L
,,,,,
Método: Au AU ALTO (Llama),,,,,
