Analyst,,,,,,
Date Started,10/19/2025 3:23 AM  GMT: 10/19/2025 10:23 AM,,,,,
Worksheet,LC005598_24,,,,,
Comment,,,,,,
Methods,"Au,Au",,,,,
,,,,,,
Method: Au (Flame),,,,,,
,,,,,,
10/19/2025,3:36:56 AM,PATRON,0.8993,,mg/L,0.7
10/19/2025,3:37:14 AM,BLANCO,0.0072,,mg/L,43.3
10/19/2025,3:37:24 AM,REAGENT BLANK,0,,mg/L,>100
10/19/2025,3:37:36 AM,LC005598-001,0.0581,,mg/L,3.3
10/19/2025,3:37:50 AM,LC005598-002,0.026,,mg/L,2.1
10/19/2025,3:38:12 AM,LC005598-003,0.0321,,mg/L,7.2
10/19/2025,3:38:24 AM,LC005598-004,0.0769,,mg/L,1.5
10/19/2025,3:38:38 AM,LC005598-005,0.0507,,mg/L,2.1
10/19/2025,3:38:50 AM,LC005598-006,0.0072,,mg/L,23.4
10/19/2025,3:39:04 AM,PATRON,0.8893,,mg/L,1
10/19/2025,3:39:20 AM,LC005598-007,0.0683,,mg/L,0.5
10/19/2025,3:39:34 AM,LC005598-008,0.2209,,mg/L,0.6
10/19/2025,3:39:48 AM,LC005598-009,0.003,,mg/L,39.2
10/19/2025,3:40:04 AM,LC005598-010,0.0633,,mg/L,3.3
10/19/2025,3:40:20 AM,LC005598-011,0.1909,,mg/L,1.3
10/19/2025,3:40:34 AM,LC005598-012,0.063,,mg/L,2.2
10/19/2025,3:40:50 AM,PATRON,0.8772,,mg/L,1.1
10/19/2025,3:41:06 AM,LC005598-013,0.4523,,mg/L,1.1
10/19/2025,3:41:18 AM,LC005598-014,0.3109,,mg/L,0.3
10/19/2025,3:41:32 AM,LC005598-015,0.2115,,mg/L,0.7
10/19/2025,3:41:44 AM,LC005598-016,0.007,,mg/L,32.3
10/19/2025,3:42:00 AM,LC005598-017,0.1762,,mg/L,0.4
10/19/2025,3:42:20 AM,LC005598-018,0.2546,,mg/L,1
10/19/2025,3:42:32 AM,PATRON,0.8775,,mg/L,1.2
10/19/2025,3:42:46 AM,LC005598-019,0.1007,,mg/L,0.9
10/19/2025,3:43:00 AM,LC005598-020,0.203,,mg/L,0.5
10/19/2025,3:43:16 AM,LC005598-021,0.1189,,mg/L,1.6
10/19/2025,3:43:34 AM,PATRON,0.8795,,mg/L,0.7
10/19/2025,3:43:52 AM,BLANCO,0.0082,,mg/L,41.9
10/19/2025,3:44:00 AM,REAGENT BLANK,0,,mg/L,60.4
,,,,,,
Method: Au AU ALTO (Flame),,,,,,
