Sample ID,Analyte Name,Reported Conc (Samp)
Columna #1,Untitled 000,1.587
Columna #2,Untitled 000,1.618
Columna #3,Untitled 000,1.616
Columna #4,Untitled 000,1.526
Columna #5,Untitled 000,1.331
Comp. Cabeza Columna,Untitled 000,1.589
Comp. Cola Columna,Untitled 000,1.295
Barren,Untitled 000,1.303
Cabeza puntual retorno,Untitled 000,1.580
Celda # 11-A,Untitled 000,0.264
Celda # 11-B,Untitled 000,6.445
Celda # 11-C,Untitled 000,2.610
Celda #5-9,Untitled 000,0.055
Celda #(F1+F2),Untitled 000,1.299
NE Tubo 1,Untitled 000,3.179
NE Tubo 2,Untitled 000,0.660
NE Tubo 4,Untitled 000,2.227
NE Tubo 5,Untitled 000,1.098
NE Tubo 6,Untitled 000,0.291
Especial 7,Untitled 000,1.537
Puntual Noroeste,Untitled 000,1.313
Tubo 3,Untitled 000,1.349
Especial 1,Untitled 000,0.041
Especial 2,Untitled 000,0.053
Especial 3,Untitled 000,0.066
Especial 4,Untitled 000,0.071
Especial 5,Untitled 000,0.044
