Sample ID,Analyte Name,Reported Conc (Samp)
Comp. Cabeza Columna,Ag 328.07,0.233
Cabeza puntual retorno,Ag 328.07,0.197
Celda #(F1+F2),Ag 328.07,0.240
Puntual Noroeste,Ag 328.07,0.302
Tubo 3,Ag 328.07,0.453
Comp. Cola Columna,Ag 328.07,0.133
Barren,Ag 328.07,0.161
Celda # 11-A,Ag 328.07,0.032
Celda # 11-B,Ag 328.07,0.057
Celda # 11-C,Ag 328.07,0.040
Celda #5-9,Ag 328.07,0.039
NE Tubo 1,Ag 328.07,0.332
NE Tubo 2,Ag 328.07,0.041
NE Tubo 4,Ag 328.07,0.102
NE Tubo 5,Ag 328.07,0.031
NE Tubo 6,Ag 328.07,0.026
NE Tubo 7,Ag 328.07,1.013
Barren Patios,Ag 328.07,0.130
Especial 1,Ag 328.07,0.032
Especial 2,Ag 328.07,0.045
Especial 3,Ag 328.07,0.030
Especial 4,Ag 328.07,0.039
Especial 5,Ag 328.07,0.049
Columna #1,Ag 328.07,0.184
Columna #2,Ag 328.07,0.169
Columna #3,Ag 328.07,0.151
Columna #4,Ag 328.07,0.128
Columna #5,Ag 328.07,0.109
